epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[22.28655242919922, 46.41562271118164, 42.587669372558594, 57.40411376953125, 42.339027404785156, 54.39888000488281, 71.71279907226562, 80.11900329589844, 79.37584686279297, 92.35047149658203, 96.71607971191406, 100.27342224121094, 111.37303161621094, 104.58656311035156, 110.10090637207031, 107.58192443847656, 114.09611511230469, 110.54359436035156, 103.71218872070312, 107.53235626220703, 106.93014526367188, 104.38084411621094, 101.47978973388672, 106.76604461669922, 100.95071411132812, 99.56906127929688, 101.9501953125, 94.82096099853516, 92.43524932861328, 92.54293823242188, 90.44316101074219, 89.03607940673828]","[12.712244987487793, 12.289263725280762, 11.975143432617188, 11.89396858215332, 11.799030303955078, 11.634915351867676, 11.25316333770752, 11.121746063232422, 10.808614730834961, 10.375585556030273, 10.23440170288086, 10.08942985534668, 9.925710678100586, 9.720209121704102, 9.700380325317383, 9.385735511779785, 9.207597732543945, 9.161947250366211, 9.063194274902344, 9.14095401763916, 8.929354667663574, 8.833789825439453, 8.975427627563477, 8.708803176879883, 8.60157585144043, 8.610788345336914, 8.579965591430664, 8.672016143798828, 8.587584495544434, 8.582225799560547, 8.483182907104492, 8.387018203735352]",9.892951965332031,8.388200759887695
1,"[0.9954731464385986, 0.343755841255188, -2.0352447032928467, -2.2916946411132812, -1.1819884777069092, 2.4649810791015625, 4.021170616149902, 0.4531526565551758, 1.9284462928771973, -0.4291422367095947, -0.6295389533042908, 3.8613386154174805, 1.2787134647369385, 0.03379210829734802, 4.197827339172363, 2.617293357849121, 2.134068012237549, 3.061460018157959, 5.227313041687012, 6.020285606384277, 6.215514183044434, 5.50506591796875, 5.610199928283691, 6.658170700073242, 6.1480841636657715, 3.7390024662017822, 5.805115699768066, 10.88349723815918, 7.704743385314941, 4.71517276763916, 10.058263778686523, 13.06191349029541]","[8.368514060974121, 8.345107078552246, 8.412964820861816, 8.336933135986328, 8.285720825195312, 8.406982421875, 8.275893211364746, 8.251153945922852, 8.441551208496094, 8.33293628692627, 8.366775512695312, 8.264483451843262, 8.27513313293457, 8.223434448242188, 8.25214672088623, 8.16529655456543, 8.191295623779297, 8.11972427368164, 8.044925689697266, 8.132161140441895, 8.040581703186035, 8.094199180603027, 8.021660804748535, 8.103940963745117, 8.125804901123047, 8.108536720275879, 8.076940536499023, 7.950463771820068, 8.04581069946289, 8.040250778198242, 8.063345909118652, 7.8460283279418945]",8.196038246154785,7.573722839355469
2,"[-9.87792682647705, -7.439454078674316, -7.969069480895996, -9.123686790466309, -7.683717727661133, -6.817697525024414, -7.421926975250244, -7.962547302246094, -9.677760124206543, -6.365255355834961, -7.043327808380127, -6.821902751922607, -7.9464216232299805, -6.4337263107299805, -7.6075005531311035, -6.8308210372924805, -8.091178894042969, -7.383210182189941, -7.0815558433532715, -6.695805549621582, -6.850165367126465, -6.105288505554199, -5.439422607421875, -7.170506954193115, -6.923927307128906, -6.577872276306152, -6.449096202850342, -7.247780799865723, -7.709343910217285, -6.555905342102051, -6.918174743652344, -7.1941423416137695]","[8.036864280700684, 7.959959030151367, 8.025915145874023, 7.9554853439331055, 8.040228843688965, 8.017523765563965, 7.962552070617676, 7.984488010406494, 8.00694465637207, 7.945723533630371, 7.894559860229492, 7.928333282470703, 7.931471347808838, 7.936649322509766, 7.8917131423950195, 7.942970275878906, 7.977536201477051, 7.95015811920166, 7.986386775970459, 7.901637077331543, 7.980819225311279, 7.932276725769043, 7.858437538146973, 7.9494524002075195, 7.961918354034424, 7.850171089172363, 7.919126987457275, 8.012351989746094, 7.908173084259033, 7.911718368530273, 7.909916400909424, 8.101393699645996]",7.951898097991943,7.505661487579346
3,"[-7.4691057205200195, -8.929582595825195, -9.517078399658203, -8.019916534423828, -7.626761436462402, -7.313018321990967, -8.125441551208496, -6.290541172027588, -8.397440910339355, -7.444328784942627, -7.33231258392334, -8.039365768432617, -7.692436695098877, -7.825634479522705, -7.758548259735107, -6.340932369232178, -6.775550842285156, -7.880664825439453, -6.245994567871094, -7.029271602630615, -6.073324680328369, -6.228640556335449, -6.335912704467773, -7.814874649047852, -6.024523735046387, -6.273622512817383, -6.638167381286621, -7.039932727813721, -5.3665900230407715, -5.542766094207764, -6.710409641265869, -6.874109745025635]","[7.907365798950195, 7.929920196533203, 7.897745609283447, 7.859078407287598, 7.9176483154296875, 7.824423313140869, 7.938976764678955, 7.851685523986816, 8.020893096923828, 7.898669242858887, 7.8204240798950195, 7.894248962402344, 7.897069931030273, 7.917022705078125, 7.9497833251953125, 7.826876640319824, 7.855257987976074, 7.983554840087891, 7.896522521972656, 7.886385917663574, 7.938051223754883, 7.8544440269470215, 7.814358711242676, 7.936785697937012, 7.890812397003174, 7.880448818206787, 7.874430179595947, 7.871801376342773, 7.8833723068237305, 7.820237159729004, 7.9437713623046875, 7.802250862121582]",7.892244338989258,7.4598493576049805
4,"[-7.656837463378906, -8.200796127319336, -7.767356872558594, -7.247414588928223, -7.176592826843262, -5.758922100067139, -6.653941631317139, -8.884647369384766, -7.660240650177002, -7.142552852630615, -8.282281875610352, -6.444725513458252, -7.0341339111328125, -7.718809604644775, -9.094001770019531, -7.357752323150635, -7.356010437011719, -5.955843925476074, -7.221321105957031, -7.619712829589844, -8.483489036560059, -6.299711227416992, -7.182073593139648, -7.169185161590576, -7.876737117767334, -8.101318359375, -8.355544090270996, -6.452121257781982, -6.584985733032227, -7.8913469314575195, -6.353468894958496, -4.700538635253906]","[7.856285572052002, 7.892062187194824, 7.955321311950684, 7.817751407623291, 7.896202564239502, 7.845451831817627, 7.927418231964111, 7.961888790130615, 7.915469646453857, 7.9099507331848145, 7.852029800415039, 7.859620094299316, 7.79691743850708, 7.798092842102051, 7.939722061157227, 7.878032207489014, 7.826328277587891, 7.7683587074279785, 7.86788272857666, 7.867566108703613, 7.945353984832764, 7.968205451965332, 7.916627883911133, 7.957703113555908, 7.854220390319824, 7.83731746673584, 7.814927577972412, 7.842611789703369, 7.897969722747803, 7.845084190368652, 7.833292007446289, 7.8173933029174805]",7.8752007484436035,7.421607971191406
5,"[-6.595336437225342, -6.2249436378479, -7.126491069793701, -6.251110076904297, -6.848950386047363, -6.921267032623291, -7.819428443908691, -6.511518478393555, -7.335166931152344, -6.476961612701416, -6.860791206359863, -7.229741096496582, -5.886226177215576, -6.400331497192383, -7.430261135101318, -6.157971382141113, -7.387845516204834, -6.900829315185547, -6.780815601348877, -5.788185119628906, -6.574409008026123, -6.905844688415527, -8.14995002746582, -8.12071418762207, -6.5005998611450195, -6.918516159057617, -7.636843681335449, -8.288427352905273, -7.95216178894043, -7.128473281860352, -6.522890090942383, -5.851868629455566]","[7.817788124084473, 7.815217018127441, 7.838260650634766, 7.808616638183594, 7.831359386444092, 7.8036298751831055, 7.81119441986084, 7.853389263153076, 7.8759355545043945, 7.74398136138916, 7.7412261962890625, 7.816391944885254, 7.731389045715332, 7.70156717300415, 7.804068565368652, 7.8514299392700195, 7.847869873046875, 7.762310981750488, 7.914226531982422, 7.727348327636719, 7.718709945678711, 7.761144638061523, 7.900481224060059, 7.945506572723389, 7.871291160583496, 7.796701431274414, 7.852981090545654, 7.792531967163086, 7.893043041229248, 7.850207805633545, 7.822390079498291, 7.698424339294434]",7.815258026123047,7.421542167663574
6,"[-6.822325706481934, -7.728100776672363, -4.738918781280518, -6.311943531036377, -6.09822940826416, -7.204965591430664, -6.701258659362793, -6.127080917358398, -6.871485233306885, -7.034334659576416, -7.613204002380371, -6.066420555114746, -6.568680763244629, -6.37811279296875, -6.501893043518066, -8.265680313110352, -6.9766645431518555, -7.785754203796387, -7.594275951385498, -6.972527503967285, -8.01087760925293, -7.384866237640381, -7.086631774902344, -5.609524726867676, -6.115095138549805, -6.158445835113525, -7.243232727050781, -5.261993885040283, -7.314298629760742, -7.2083821296691895, -6.264616012573242, -6.181426525115967]","[7.767932891845703, 7.825252056121826, 7.787055492401123, 7.750816345214844, 7.828751087188721, 7.767066955566406, 7.821258068084717, 7.805609226226807, 7.864687919616699, 7.771834373474121, 7.867452621459961, 7.827167510986328, 7.780978679656982, 7.797205924987793, 7.842137813568115, 7.787863731384277, 7.791787147521973, 7.848569869995117, 7.929625988006592, 7.7548627853393555, 7.845813274383545, 7.839613437652588, 7.780851364135742, 7.795688629150391, 7.862442970275879, 7.80699348449707, 7.783987998962402, 7.7053375244140625, 7.718091011047363, 7.7411112785339355, 7.896587371826172, 7.796194076538086]",7.806191921234131,7.3689165115356445
7,"[-6.353475570678711, -6.087472915649414, -7.755343914031982, -7.954378604888916, -6.916991233825684, -7.2531585693359375, -6.999078273773193, -8.663008689880371, -8.191108703613281, -7.454298973083496, -6.693034648895264, -8.491630554199219, -7.418860912322998, -7.369828701019287, -7.5411272048950195, -7.529501914978027, -6.195757865905762, -7.244778156280518, -6.0561676025390625, -7.788170337677002, -7.278040409088135, -8.62097454071045, -7.550439834594727, -6.843890190124512, -7.259922981262207, -6.8336639404296875, -7.58509635925293, -7.19816255569458, -7.03313684463501, -6.739398956298828, -6.844257831573486, -6.710257053375244]","[7.791167259216309, 7.837552070617676, 7.867817401885986, 7.848202228546143, 7.854970455169678, 7.7929863929748535, 7.8537068367004395, 7.907143592834473, 7.843547821044922, 7.8107404708862305, 7.756731033325195, 7.824695587158203, 7.733157157897949, 7.7996625900268555, 7.713075637817383, 7.792700290679932, 7.732185363769531, 7.711153030395508, 7.736702919006348, 7.840200901031494, 7.800246238708496, 7.858033657073975, 7.794797897338867, 7.7947492599487305, 7.793054580688477, 7.776848793029785, 7.798001289367676, 7.800388336181641, 7.837468147277832, 7.715381622314453, 7.701175212860107, 7.8684892654418945]",7.797932147979736,7.380486011505127
8,"[-6.300535202026367, -7.458765983581543, -7.272275924682617, -6.04840612411499, -6.716789722442627, -6.648459434509277, -6.051784038543701, -5.368361949920654, -5.925507545471191, -6.222701072692871, -7.51019287109375, -5.8344526290893555, -6.330145835876465, -6.499395370483398, -6.795536994934082, -6.34222936630249, -5.432784557342529, -6.828551292419434, -6.045252799987793, -6.251226425170898, -5.783731460571289, -5.28350830078125, -7.19186544418335, -6.312176704406738, -7.700648307800293, -5.862208366394043, -5.616640567779541, -7.660830497741699, -4.877719879150391, -6.152059555053711, -5.774906158447266, -4.582917213439941]","[7.824610710144043, 7.82611083984375, 7.716614723205566, 7.684968948364258, 7.811120510101318, 7.84401798248291, 7.709079265594482, 7.673803329467773, 7.74233341217041, 7.775294780731201, 7.703944206237793, 7.700851917266846, 7.719499111175537, 7.797830581665039, 7.853053569793701, 7.753735542297363, 7.777959823608398, 7.863483428955078, 7.744631767272949, 7.733290672302246, 7.75287389755249, 7.810466289520264, 7.839688301086426, 7.831084728240967, 7.816718101501465, 7.723569869995117, 7.740373611450195, 7.761382102966309, 7.685809135437012, 7.708133697509766, 7.75687837600708, 7.851384162902832]",7.764674186706543,7.3517560958862305
9,"[-7.059394359588623, -7.39317512512207, -6.24118185043335, -7.713271141052246, -7.787933349609375, -6.532062530517578, -7.195834636688232, -6.815252780914307, -5.856573581695557, -6.37861967086792, -5.853352069854736, -6.244650363922119, -5.766758918762207, -6.8957414627075195, -6.721040725708008, -6.909491539001465, -6.616211891174316, -7.86367130279541, -7.0573201179504395, -6.412909507751465, -7.663396835327148, -6.679356575012207, -6.328276634216309, -5.746445655822754, -6.200362205505371, -6.92181396484375, -6.87340784072876, -5.794753551483154, -7.552701473236084, -5.372445583343506, -5.662776947021484, -6.169865131378174]","[7.771013259887695, 7.8249125480651855, 7.707247734069824, 7.731781959533691, 7.7979736328125, 7.770850658416748, 7.734574794769287, 7.831099033355713, 7.7646613121032715, 7.776392936706543, 7.714895248413086, 7.745394706726074, 7.797379493713379, 7.740468978881836, 7.79300594329834, 7.863175392150879, 7.770970344543457, 7.7351508140563965, 7.789594650268555, 7.718055248260498, 7.771954536437988, 7.738259315490723, 7.699291229248047, 7.684785842895508, 7.687417984008789, 7.738708972930908, 7.805902481079102, 7.7829909324646, 7.81727409362793, 7.742470741271973, 7.723382472991943, 7.7497735023498535]",7.760272026062012,7.353865623474121
10,"[-6.793418884277344, -5.96402645111084, -6.162055969238281, -5.904892921447754, -5.852603912353516, -6.415792465209961, -6.454516410827637, -6.1115570068359375, -6.432790756225586, -6.8711442947387695, -6.326869010925293, -5.779207706451416, -7.294602394104004, -6.367138862609863, -6.2804765701293945, -6.597470283508301, -6.28554630279541, -6.501845359802246, -6.864295482635498, -7.1143999099731445, -6.090420722961426, -6.01943302154541, -5.308453559875488, -7.072941780090332, -5.558996200561523, -6.583755970001221, -6.915627479553223, -5.761064529418945, -5.884367942810059, -5.5481767654418945, -6.333449363708496, -5.354591369628906]","[7.8073296546936035, 7.762286186218262, 7.654675483703613, 7.816231727600098, 7.724823951721191, 7.762421607971191, 7.751476287841797, 7.7907843589782715, 7.766476631164551, 7.7605366706848145, 7.789411544799805, 7.697086811065674, 7.813199043273926, 7.656498908996582, 7.728091239929199, 7.740597248077393, 7.706857204437256, 7.665000915527344, 7.709500312805176, 7.729727745056152, 7.64694881439209, 7.666408538818359, 7.697917938232422, 7.76677131652832, 7.657027244567871, 7.762589454650879, 7.802700042724609, 7.742977142333984, 7.671298027038574, 7.707104206085205, 7.760059356689453, 7.587015628814697]",7.731570720672607,7.33764123916626
11,"[-6.801709175109863, -6.996670722961426, -5.790736675262451, -6.8976006507873535, -7.150484085083008, -7.2880778312683105, -6.49223518371582, -6.683561325073242, -6.376335620880127, -5.921497821807861, -6.451929092407227, -6.660618782043457, -6.409633636474609, -6.2394280433654785, -6.594789981842041, -7.03526496887207, -6.948606491088867, -7.132227897644043, -5.425088882446289, -6.749137878417969, -6.99837589263916, -7.408717155456543, -5.800243377685547, -5.806942939758301, -6.210472583770752, -6.742038726806641, -5.20526647567749, -6.6767120361328125, -5.786513805389404, -5.195682048797607, -6.310882568359375, -8.445441246032715]","[7.816871643066406, 7.745813846588135, 7.716344833374023, 7.747758865356445, 7.6949543952941895, 7.685420036315918, 7.778952598571777, 7.671723365783691, 7.727335453033447, 7.760655403137207, 7.649474620819092, 7.7526960372924805, 7.745626449584961, 7.794044494628906, 7.77622652053833, 7.7799391746521, 7.704740524291992, 7.726000785827637, 7.699307918548584, 7.678244590759277, 7.783186912536621, 7.722094535827637, 7.685565948486328, 7.6614837646484375, 7.729628562927246, 7.844862937927246, 7.68855094909668, 7.732081890106201, 7.731600761413574, 7.615706920623779, 7.71382999420166, 7.790942192077637]",7.728271484375,7.355077266693115
12,"[-6.7083611488342285, -6.708955764770508, -6.696204662322998, -6.2618327140808105, -5.608562469482422, -7.1878862380981445, -6.119692802429199, -5.82425594329834, -6.463446617126465, -5.714096546173096, -6.6961212158203125, -6.84580135345459, -5.747565269470215, -7.323775291442871, -6.03619384765625, -6.939701557159424, -5.555671215057373, -5.974430084228516, -5.715381622314453, -6.089309215545654, -6.752490043640137, -6.253501892089844, -6.065903663635254, -5.314024925231934, -5.094079494476318, -4.799434185028076, -5.830725193023682, -6.354778289794922, -5.801894187927246, -6.086765766143799, -5.499642372131348, -7.301448345184326]","[7.734947204589844, 7.804405689239502, 7.788339138031006, 7.789012432098389, 7.732692718505859, 7.7266130447387695, 7.7247538566589355, 7.71971321105957, 7.716399192810059, 7.759197235107422, 7.6785125732421875, 7.730039596557617, 7.695728302001953, 7.790752410888672, 7.646603584289551, 7.659123420715332, 7.60688591003418, 7.745336532592773, 7.716745376586914, 7.726227760314941, 7.721365451812744, 7.707500457763672, 7.68857479095459, 7.770617485046387, 7.661221504211426, 7.678899765014648, 7.679637908935547, 7.753945827484131, 7.719143867492676, 7.716400146484375, 7.766469955444336, 7.796757698059082]",7.721760272979736,7.338842868804932
13,"[-4.922366619110107, -5.793954849243164, -6.225847244262695, -7.0777974128723145, -5.865438461303711, -6.044477939605713, -5.3196492195129395, -4.715213775634766, -5.549703598022461, -6.02276611328125, -6.037809371948242, -6.476218223571777, -7.206598281860352, -6.050604343414307, -5.792523384094238, -5.994422912597656, -6.175660133361816, -6.012772560119629, -6.090683460235596, -5.777253150939941, -5.596622943878174, -6.437755584716797, -5.887441635131836, -6.020781517028809, -5.628586769104004, -5.139092445373535, -6.446589946746826, -6.825066566467285, -5.584127902984619, -5.144407749176025, -5.209808826446533, -5.438004493713379]","[7.675226211547852, 7.765872478485107, 7.782928466796875, 7.741172790527344, 7.689660549163818, 7.77655029296875, 7.76248025894165, 7.769779682159424, 7.674964904785156, 7.725275993347168, 7.646994590759277, 7.652121067047119, 7.706769943237305, 7.728478908538818, 7.73567008972168, 7.707406997680664, 7.675605297088623, 7.737178802490234, 7.631762504577637, 7.722805023193359, 7.711167335510254, 7.656867980957031, 7.704251289367676, 7.790159225463867, 7.625720977783203, 7.721253871917725, 7.699794769287109, 7.765539169311523, 7.698946475982666, 7.662034034729004, 7.643799304962158, 7.780420303344727]",7.709867477416992,7.319921016693115
14,"[-5.660257339477539, -4.82542610168457, -5.556818962097168, -7.078255653381348, -6.017241477966309, -6.632904529571533, -5.418878078460693, -5.945235252380371, -5.3876190185546875, -5.5848894119262695, -5.371094703674316, -5.493109703063965, -6.928433418273926, -6.084847450256348, -5.8852739334106445, -6.69356107711792, -5.407424449920654, -6.006010055541992, -5.803467750549316, -5.978702068328857, -6.048153877258301, -5.304788589477539, -6.488369941711426, -5.7067437171936035, -4.467556476593018, -6.294236183166504, -6.044938087463379, -6.944818496704102, -6.222882270812988, -5.775059700012207, -5.906505584716797, -7.050004959106445]","[7.714439392089844, 7.616756439208984, 7.7375335693359375, 7.762488842010498, 7.676632404327393, 7.70926570892334, 7.6625657081604, 7.724326133728027, 7.635022163391113, 7.707721710205078, 7.722560882568359, 7.675419330596924, 7.730092525482178, 7.628198623657227, 7.642457962036133, 7.701613426208496, 7.6602067947387695, 7.683646202087402, 7.724013328552246, 7.669158935546875, 7.727273464202881, 7.605034828186035, 7.698660850524902, 7.629912376403809, 7.639564514160156, 7.747981071472168, 7.6739349365234375, 7.749387264251709, 7.686270713806152, 7.792670249938965, 7.639264106750488, 7.919310569763184]",7.691325664520264,7.323144435882568
