epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[682.2493896484375, 947.7257080078125, 1048.3485107421875, 1188.93701171875, 1391.9930419921875, 1273.02490234375, 1319.6630859375, 1340.0396728515625, 1321.22998046875, 1348.25830078125, 1316.5537109375, 1209.3682861328125, 1224.8370361328125, 1149.611572265625, 1153.69482421875, 1118.2882080078125, 1144.7431640625, 1153.2020263671875, 1203.6309814453125, 1184.912353515625, 1166.468017578125, 1094.354736328125, 1167.745361328125, 1137.6412353515625, 1050.298583984375, 1058.957275390625, 1022.38232421875, 1103.86962890625, 1132.044189453125, 1082.1214599609375, 1070.3092041015625, 1053.621826171875, 1220.481689453125, 1102.42431640625, 1231.9248046875, 1131.162353515625, 1095.880126953125, 1086.000732421875, 1083.9329833984375, 1048.545166015625, 1013.3841552734375, 1024.9873046875, 1107.5496826171875, 1054.11572265625, 1087.17626953125, 1096.0631103515625, 1060.615234375, 1121.54541015625, 1105.1787109375, 1067.79541015625, 989.464111328125, 1100.52294921875, 1113.250732421875, 1036.8695068359375, 1068.02978515625, 1083.497802734375, 1051.2642822265625, 965.456787109375, 1061.8009033203125, 1062.322998046875, 1070.217529296875, 1074.771484375, 1094.2584228515625]","[30.059234619140625, 28.2023868560791, 26.880123138427734, 25.125988006591797, 23.343307495117188, 22.073429107666016, 21.454994201660156, 20.67337417602539, 20.517335891723633, 20.582962036132812, 20.8262996673584, 21.158857345581055, 21.768352508544922, 21.83405876159668, 21.900970458984375, 21.33673667907715, 21.181617736816406, 20.735078811645508, 20.607542037963867, 20.580448150634766, 20.27232551574707, 20.44765853881836, 20.79092788696289, 21.275136947631836, 21.908418655395508, 22.729595184326172, 22.632549285888672, 22.342554092407227, 21.82894515991211, 21.408737182617188, 21.239599227905273, 20.774185180664062, 20.671646118164062, 20.501651763916016, 20.31199836730957, 20.409381866455078, 20.90958595275879, 20.81664276123047, 20.542156219482422, 20.541950225830078, 20.541757583618164, 20.324434280395508, 20.277973175048828, 20.15133285522461, 20.141727447509766, 20.009214401245117, 20.192405700683594, 19.914358139038086, 20.60825538635254, 20.236717224121094, 20.23235321044922, 19.858007431030273, 19.70290756225586, 19.855316162109375, 20.229745864868164, 20.293346405029297, 20.520736694335938, 20.437091827392578, 19.736698150634766, 19.991695404052734, 19.75275421142578, 19.391063690185547, 19.77545928955078]",21.207782745361328,18.931360244750977
1,"[-90.65347290039062, -58.72631072998047, -53.93657302856445, -6.148296356201172, -19.728797912597656, 13.515239715576172, -8.797625541687012, 44.57076644897461, -43.74245071411133, -3.6056809425354004, -7.470389366149902, 10.543319702148438, -42.312721252441406, -0.6218280792236328, -34.98320770263672, -15.049695014953613, 14.69540786743164, 32.82540512084961, 15.349261283874512, 28.900470733642578, -10.531547546386719, 38.45197677612305, 30.497499465942383, 18.419353485107422, 46.29301071166992, 91.77742767333984, 38.92879104614258, 58.60572052001953, 61.40478515625, 122.025390625, 86.23714447021484, 60.37343215942383, 104.27413940429688, 85.32275390625, 101.56188201904297, 129.64649963378906, 94.83551025390625, 61.56336975097656, 70.49488830566406, 72.28826904296875, 105.37939453125, 114.24653625488281, 99.02194213867188, 82.49201965332031, 85.69274139404297, 98.6008071899414, 93.43767547607422, 78.6636734008789, 141.5264892578125, 121.16348266601562, 110.41757202148438, 86.11504364013672, 108.83351135253906, 109.01384735107422, 112.57473754882812, 99.25800323486328, 121.71224975585938, 163.2051239013672, 107.70515441894531, 154.056884765625, 134.0249786376953, 126.30928039550781, 96.4861831665039]","[20.043758392333984, 19.97841453552246, 19.837486267089844, 19.812990188598633, 19.672088623046875, 19.004453659057617, 18.96314239501953, 18.799983978271484, 18.73624038696289, 19.058225631713867, 19.043968200683594, 18.78470230102539, 19.043094635009766, 19.034576416015625, 18.82946014404297, 18.889846801757812, 18.828617095947266, 18.945552825927734, 18.77347183227539, 18.902328491210938, 18.62106704711914, 18.621366500854492, 18.44546890258789, 18.398155212402344, 18.271787643432617, 18.416847229003906, 18.083332061767578, 18.17265510559082, 18.091737747192383, 18.250938415527344, 18.120704650878906, 18.181901931762695, 17.94208526611328, 18.010913848876953, 17.785778045654297, 17.904926300048828, 17.726268768310547, 17.502878189086914, 17.93138313293457, 17.668018341064453, 17.747028350830078, 17.819381713867188, 17.98455238342285, 17.70028305053711, 17.710649490356445, 17.617263793945312, 17.49370765686035, 17.31395721435547, 17.52971649169922, 17.11075210571289, 17.20808982849121, 17.1654052734375, 17.227800369262695, 17.386493682861328, 17.27800750732422, 17.280208587646484, 17.159496307373047, 17.311199188232422, 17.239700317382812, 16.935916900634766, 17.208271026611328, 17.007213592529297, 17.08831214904785]",18.177759170532227,15.104969024658203
2,"[-164.5146484375, -159.35986328125, -153.6861572265625, -149.37600708007812, -156.03717041015625, -143.9620819091797, -143.9503936767578, -143.32818603515625, -129.82806396484375, -134.4131622314453, -124.67463684082031, -113.67832946777344, -133.31454467773438, -123.89568328857422, -124.52882385253906, -133.51695251464844, -134.7083282470703, -124.46073150634766, -117.17939758300781, -102.20995330810547, -116.07775115966797, -116.7416000366211, -122.67509460449219, -110.9837417602539, -109.292724609375, -117.28165435791016, -117.94548797607422, -127.90589904785156, -108.50735473632812, -111.20004272460938, -123.91416931152344, -111.36892700195312, -113.246826171875, -111.51878356933594, -106.19932556152344, -105.34495544433594, -102.09235382080078, -102.0, -101.2814712524414, -97.10588073730469, -103.05157470703125, -106.26407623291016, -101.34255981445312, -97.03752136230469, -99.36161804199219, -102.04292297363281, -93.28360748291016, -94.74390411376953, -88.90704345703125, -99.56331634521484, -92.10657501220703, -101.62446594238281, -102.98106384277344, -96.54638671875, -88.70606994628906, -87.18620300292969, -93.05886840820312, -90.29564666748047, -93.53501892089844, -77.73200988769531, -97.46092987060547, -89.60746765136719, -96.69446563720703]","[17.336795806884766, 17.379287719726562, 17.24020004272461, 17.24594497680664, 17.365629196166992, 17.116939544677734, 16.93415641784668, 16.88934898376465, 16.941890716552734, 16.895038604736328, 16.78914451599121, 16.872333526611328, 16.893665313720703, 16.738636016845703, 16.78396987915039, 16.907875061035156, 16.947078704833984, 17.06039047241211, 16.769283294677734, 16.76372528076172, 16.63550567626953, 16.837718963623047, 16.731975555419922, 16.528076171875, 16.67331314086914, 16.765933990478516, 16.705095291137695, 16.74690818786621, 16.75262451171875, 16.7274169921875, 16.814626693725586, 16.66086196899414, 16.816526412963867, 16.722625732421875, 16.614301681518555, 16.546443939208984, 16.554136276245117, 16.71733283996582, 16.44870376586914, 16.530094146728516, 16.557003021240234, 16.653751373291016, 16.430011749267578, 16.585926055908203, 16.631954193115234, 16.50827980041504, 16.463577270507812, 16.511249542236328, 16.527633666992188, 16.499858856201172, 16.409664154052734, 16.563880920410156, 16.458078384399414, 16.224626541137695, 16.51537322998047, 16.406455993652344, 16.466646194458008, 16.414949417114258, 16.460369110107422, 16.34975814819336, 16.351566314697266, 16.420358657836914, 16.20992088317871]",16.702680587768555,14.281734466552734
3,"[-143.49472045898438, -138.69857788085938, -145.20175170898438, -149.09457397460938, -151.81765747070312, -151.74197387695312, -157.45773315429688, -145.46449279785156, -135.35177612304688, -139.1390380859375, -141.41603088378906, -136.976318359375, -139.7437286376953, -144.24609375, -161.47479248046875, -145.79299926757812, -139.7698211669922, -132.93711853027344, -137.5189208984375, -131.01303100585938, -133.9527587890625, -142.590576171875, -133.66787719726562, -140.75436401367188, -141.09255981445312, -130.49801635742188, -137.64407348632812, -135.4094696044922, -137.06512451171875, -134.29702758789062, -120.29521179199219, -139.76425170898438, -146.2867431640625, -135.57427978515625, -125.02729034423828, -138.69505310058594, -126.38236999511719, -130.77554321289062, -136.50048828125, -136.3295135498047, -137.1992950439453, -131.37022399902344, -135.10494995117188, -135.44334411621094, -152.96807861328125, -141.48443603515625, -133.09133911132812, -142.3929443359375, -134.62071228027344, -135.57354736328125, -137.66165161132812, -123.66592407226562, -138.80584716796875, -129.7680206298828, -128.84414672851562, -128.8736114501953, -136.7701873779297, -136.34310913085938, -134.31488037109375, -135.6166534423828, -124.41062927246094, -136.51797485351562, -125.83766174316406]","[16.381956100463867, 16.426000595092773, 16.47481918334961, 16.43829917907715, 16.46945571899414, 16.43796157836914, 16.495521545410156, 16.51660919189453, 16.18518829345703, 16.170320510864258, 16.32421875, 16.255205154418945, 16.402637481689453, 16.373130798339844, 16.674846649169922, 16.21552276611328, 16.438613891601562, 16.250717163085938, 16.140615463256836, 16.439252853393555, 16.352027893066406, 16.366079330444336, 16.157939910888672, 16.24427032470703, 16.393020629882812, 16.126262664794922, 16.290058135986328, 16.171077728271484, 16.170394897460938, 16.3732852935791, 16.14077377319336, 16.26874351501465, 16.339513778686523, 16.38010025024414, 16.06818962097168, 16.24496841430664, 16.13234519958496, 16.10198402404785, 16.27634620666504, 16.29491424560547, 16.22271156311035, 16.17929458618164, 16.112567901611328, 16.26055908203125, 16.21978759765625, 16.213321685791016, 16.234634399414062, 16.481430053710938, 16.34069061279297, 16.23839569091797, 16.354650497436523, 16.135211944580078, 16.30738639831543, 16.173763275146484, 16.232711791992188, 16.304107666015625, 16.27580451965332, 16.154417037963867, 16.197307586669922, 16.246292114257812, 16.167686462402344, 16.17813491821289, 16.318517684936523]",16.284692764282227,14.114723205566406
4,"[-128.5440216064453, -141.96214294433594, -128.54010009765625, -148.2864990234375, -136.96371459960938, -130.697021484375, -134.65896606445312, -141.2659149169922, -145.996826171875, -141.08132934570312, -139.9533233642578, -144.47683715820312, -138.34503173828125, -148.33035278320312, -137.9548797607422, -137.59884643554688, -139.93658447265625, -141.5721893310547, -141.9691162109375, -142.21348571777344, -141.3092041015625, -142.52978515625, -126.54540252685547, -143.6502685546875, -133.3496856689453, -135.8655548095703, -143.821044921875, -131.1190948486328, -134.30630493164062, -131.49972534179688, -146.0809783935547, -139.68942260742188, -138.52032470703125, -133.421142578125, -142.52224731445312, -141.0552978515625, -147.04815673828125, -138.89462280273438, -136.83154296875, -140.26553344726562, -139.57070922851562, -141.09716796875, -143.48098754882812, -132.03485107421875, -131.3341064453125, -133.36019897460938, -134.39987182617188, -135.3699493408203, -133.26596069335938, -134.1825408935547, -137.731201171875, -145.2330322265625, -136.30068969726562, -132.44334411621094, -126.62359619140625, -129.00503540039062, -134.8585205078125, -131.70281982421875, -124.36637115478516, -131.29383850097656, -136.09686279296875, -132.52548217773438, -125.63002014160156]","[16.19115447998047, 16.1553955078125, 16.05091667175293, 16.336227416992188, 16.222400665283203, 16.189388275146484, 16.243709564208984, 16.035537719726562, 16.417285919189453, 16.20716094970703, 16.31878662109375, 16.240570068359375, 16.231903076171875, 16.16350555419922, 16.08270835876465, 16.195049285888672, 15.997422218322754, 16.25571060180664, 16.179868698120117, 16.146703720092773, 16.273365020751953, 16.149208068847656, 16.061542510986328, 16.087007522583008, 16.126087188720703, 16.197643280029297, 16.230318069458008, 16.04145622253418, 16.0788631439209, 16.179990768432617, 16.22235107421875, 16.258342742919922, 16.155702590942383, 16.231487274169922, 16.200347900390625, 16.275569915771484, 16.19310188293457, 15.986082077026367, 16.180509567260742, 16.157440185546875, 16.197439193725586, 16.11688232421875, 16.093212127685547, 16.17266082763672, 16.070951461791992, 16.26557159423828, 16.110246658325195, 16.063413619995117, 15.99917984008789, 16.078062057495117, 16.15850830078125, 16.167545318603516, 16.22650146484375, 16.011219024658203, 16.02629280090332, 15.994034767150879, 15.976922988891602, 16.023326873779297, 16.04669761657715, 16.163436889648438, 16.11111831665039, 16.052391052246094, 16.024478912353516]",16.148571014404297,14.044301986694336
5,"[-135.560791015625, -139.6209716796875, -134.92532348632812, -143.5941162109375, -140.6679229736328, -134.32830810546875, -139.65042114257812, -147.71693420410156, -134.88238525390625, -130.14710998535156, -136.47341918945312, -138.3967742919922, -131.41091918945312, -132.9328155517578, -142.15325927734375, -133.6971893310547, -136.43572998046875, -139.2371368408203, -137.59344482421875, -133.27224731445312, -144.57391357421875, -125.79793548583984, -137.66534423828125, -142.22930908203125, -140.08966064453125, -128.57212829589844, -138.72129821777344, -135.6270751953125, -134.22296142578125, -132.48411560058594, -139.31494140625, -129.76580810546875, -131.51361083984375, -138.32769775390625, -140.41366577148438, -142.1787872314453, -132.76943969726562, -149.049560546875, -138.8419189453125, -143.0171356201172, -127.0660629272461, -124.36233520507812, -137.41073608398438, -137.9173583984375, -136.57275390625, -142.64324951171875, -139.1961669921875, -132.2704315185547, -136.97018432617188, -128.26394653320312, -131.84017944335938, -133.11367797851562, -132.50485229492188, -133.0871124267578, -136.1943817138672, -132.95953369140625, -131.81016540527344, -129.45852661132812, -135.85145568847656, -131.8472442626953, -138.896240234375, -137.80221557617188, -134.201904296875]","[16.139463424682617, 16.10666275024414, 16.173994064331055, 16.117746353149414, 16.136493682861328, 15.97996997833252, 16.111251831054688, 16.193885803222656, 15.980488777160645, 15.943209648132324, 15.885287284851074, 16.080875396728516, 16.070270538330078, 16.076824188232422, 16.179128646850586, 16.134090423583984, 16.156227111816406, 16.01848602294922, 15.948627471923828, 15.994394302368164, 16.173542022705078, 16.027053833007812, 15.911481857299805, 16.132801055908203, 15.946632385253906, 16.03113555908203, 16.021236419677734, 16.00922966003418, 16.14078712463379, 15.988321304321289, 16.02454948425293, 16.06128692626953, 15.970651626586914, 16.144145965576172, 16.03990364074707, 16.29908561706543, 15.90097427368164, 16.21892738342285, 16.185287475585938, 16.172460556030273, 15.996289253234863, 15.900331497192383, 16.199417114257812, 16.104711532592773, 15.89518928527832, 16.157211303710938, 16.099355697631836, 16.008867263793945, 16.146808624267578, 15.941713333129883, 16.104326248168945, 16.004976272583008, 15.95697021484375, 15.908097267150879, 15.996146202087402, 16.192516326904297, 15.925639152526855, 16.034982681274414, 16.07442855834961, 16.043678283691406, 16.020429611206055, 16.092594146728516, 16.024328231811523]",16.058300018310547,14.108205795288086
6,"[-125.84513854980469, -134.85305786132812, -126.85386657714844, -136.85546875, -127.32479858398438, -131.72970581054688, -136.46498107910156, -140.203857421875, -128.11195373535156, -135.9646453857422, -133.729736328125, -125.27848815917969, -132.97389221191406, -133.33358764648438, -122.57125091552734, -135.69332885742188, -133.85848999023438, -127.4521484375, -121.74099731445312, -134.92935180664062, -125.74420166015625, -130.72024536132812, -134.3720703125, -129.59613037109375, -133.7044219970703, -131.37229919433594, -123.27629089355469, -129.09335327148438, -127.93350982666016, -129.79762268066406, -133.52149963378906, -125.78218841552734, -127.7085189819336, -130.45797729492188, -122.55097961425781, -125.30546569824219, -125.57199096679688, -127.04562377929688, -126.68659973144531, -122.49990844726562, -117.02528381347656, -130.00497436523438, -120.54513549804688, -121.86297607421875, -122.66183471679688, -122.16004943847656, -122.1089096069336, -127.95654296875, -121.8359375, -126.3692626953125, -132.38278198242188, -117.52021789550781, -127.98756408691406, -124.91867065429688, -125.81315612792969, -120.74593353271484, -124.56587982177734, -123.0228042602539, -122.3009262084961, -129.49545288085938, -118.53821563720703, -124.3621597290039, -124.20498657226562]","[15.858916282653809, 15.938178062438965, 16.019245147705078, 16.019668579101562, 15.98932933807373, 16.059890747070312, 16.018404006958008, 16.081989288330078, 15.965315818786621, 16.151012420654297, 16.001319885253906, 15.964618682861328, 16.069334030151367, 15.971894264221191, 15.863131523132324, 15.906759262084961, 16.114635467529297, 15.963387489318848, 15.876260757446289, 15.97192096710205, 15.954610824584961, 16.03904151916504, 15.957189559936523, 15.983551025390625, 16.120357513427734, 16.055397033691406, 15.935892105102539, 15.9490966796875, 16.045028686523438, 15.941056251525879, 16.057361602783203, 15.92076587677002, 15.889059066772461, 16.054540634155273, 15.876934051513672, 15.856413841247559, 15.925800323486328, 16.055255889892578, 15.85560131072998, 15.938640594482422, 15.990424156188965, 15.994833946228027, 15.877126693725586, 16.008689880371094, 15.87267780303955, 15.940607070922852, 15.943855285644531, 15.946186065673828, 16.038185119628906, 16.014755249023438, 16.145397186279297, 15.822598457336426, 16.076976776123047, 15.91183853149414, 15.851790428161621, 15.843502044677734, 16.022842407226562, 15.79345989227295, 15.886812210083008, 15.92098617553711, 15.947626113891602, 16.064929962158203, 15.801544189453125]",15.96854019165039,14.0698823928833
7,"[-129.160888671875, -121.85358428955078, -131.60400390625, -129.76824951171875, -123.71258544921875, -126.03641510009766, -118.4259033203125, -120.81546020507812, -118.56939697265625, -118.67422485351562, -118.40351867675781, -134.62344360351562, -114.01998901367188, -121.128662109375, -126.68827056884766, -122.0268783569336, -118.76560974121094, -118.40510559082031, -121.65543365478516, -118.37651062011719, -112.76100158691406, -113.11044311523438, -113.95980834960938, -126.36006164550781, -125.12705993652344, -124.34275817871094, -119.60760498046875, -115.90062713623047, -124.89057922363281, -130.58056640625, -117.62474060058594, -119.86846923828125, -117.23269653320312, -119.71239471435547, -120.09758758544922, -116.07560729980469, -125.79898834228516, -123.08351135253906, -117.02056121826172, -112.28164672851562, -119.96498107910156, -122.69659423828125, -113.09788513183594, -116.82273864746094, -117.07443237304688, -122.75971984863281, -119.34092712402344, -120.69379425048828, -114.27953338623047, -114.62000274658203, -126.69667053222656, -106.75146484375, -125.24320983886719, -118.99557495117188, -116.83257293701172, -118.09515380859375, -117.13735961914062, -120.82279968261719, -124.42528533935547, -121.91445922851562, -123.99034118652344, -121.37635803222656, -123.10917663574219]","[15.909871101379395, 15.909961700439453, 16.059295654296875, 16.04804229736328, 16.021160125732422, 15.993517875671387, 15.959659576416016, 15.84584903717041, 15.890378952026367, 15.885202407836914, 15.839141845703125, 16.03624153137207, 15.853302001953125, 15.911532402038574, 15.905842781066895, 15.960952758789062, 15.837985038757324, 15.912059783935547, 15.871570587158203, 15.83106803894043, 15.927525520324707, 16.00120735168457, 16.025455474853516, 15.899627685546875, 15.897167205810547, 15.851785659790039, 15.825532913208008, 15.894742965698242, 15.947408676147461, 15.859101295471191, 15.913482666015625, 15.823219299316406, 15.929378509521484, 15.839027404785156, 15.836942672729492, 15.80911636352539, 15.921426773071289, 15.910545349121094, 15.871450424194336, 15.82510757446289, 15.940073013305664, 15.996915817260742, 15.769769668579102, 15.909452438354492, 15.919024467468262, 15.757109642028809, 15.869948387145996, 15.801355361938477, 15.827916145324707, 15.930635452270508, 15.945372581481934, 15.787528991699219, 15.971184730529785, 15.743965148925781, 15.82371711730957, 15.802164077758789, 15.921586990356445, 15.874670028686523, 15.81406021118164, 15.83098316192627, 15.887927055358887, 15.881446838378906, 16.06060791015625]",15.893264770507812,13.993983268737793
8,"[-117.51225280761719, -119.14598083496094, -119.02779388427734, -117.60698699951172, -120.55435180664062, -122.08218383789062, -109.72529602050781, -131.1654510498047, -130.5161590576172, -112.56082153320312, -114.24573516845703, -120.61406707763672, -117.96175384521484, -113.45369720458984, -119.51065063476562, -113.18896484375, -132.76339721679688, -120.331787109375, -117.24311828613281, -119.66279602050781, -119.46961975097656, -127.34744262695312, -123.49263763427734, -122.24166107177734, -117.14810180664062, -116.72217559814453, -110.32959747314453, -118.43479919433594, -112.75985717773438, -116.4174575805664, -115.4954833984375, -115.75133514404297, -117.59081268310547, -110.24179077148438, -114.72481536865234, -119.99119567871094, -125.6856689453125, -121.452392578125, -108.61843872070312, -116.23918914794922, -120.25281524658203, -109.81749725341797, -112.49951934814453, -117.4239501953125, -117.26615905761719, -119.97795104980469, -111.1722412109375, -117.56704711914062, -118.25147247314453, -111.07180786132812, -111.32750701904297, -115.74745178222656, -117.63921356201172, -112.47032165527344, -118.97346496582031, -123.8570556640625, -114.65705871582031, -112.16907501220703, -114.22076416015625, -122.24761199951172, -114.11778259277344, -121.01547241210938, -113.99372100830078]","[15.755277633666992, 15.831277847290039, 15.821462631225586, 15.759723663330078, 15.843809127807617, 15.791797637939453, 15.840378761291504, 15.833921432495117, 15.775218963623047, 15.818330764770508, 15.875995635986328, 15.733011245727539, 15.983894348144531, 15.826536178588867, 15.86523723602295, 15.870628356933594, 15.889913558959961, 15.842437744140625, 15.796520233154297, 15.825409889221191, 15.717090606689453, 15.90888500213623, 15.804965019226074, 15.761139869689941, 15.749920845031738, 15.776941299438477, 15.754179000854492, 15.665149688720703, 15.792133331298828, 15.78361701965332, 15.767187118530273, 15.693634033203125, 15.874374389648438, 15.69530200958252, 15.737935066223145, 15.688703536987305, 15.888251304626465, 15.923333168029785, 15.715826034545898, 15.686956405639648, 15.781719207763672, 15.593032836914062, 15.741764068603516, 15.756982803344727, 15.868189811706543, 15.89598274230957, 15.774377822875977, 15.77907657623291, 15.772724151611328, 15.763083457946777, 15.741363525390625, 15.647170066833496, 15.682687759399414, 15.73660659790039, 15.879302978515625, 15.779329299926758, 15.709163665771484, 15.72174072265625, 15.800962448120117, 15.786699295043945, 15.803544998168945, 15.769547462463379, 15.888092041015625]",15.787127494812012,13.935060501098633
9,"[-117.00867462158203, -121.30338287353516, -128.20651245117188, -114.64735412597656, -119.71511840820312, -112.20181274414062, -108.87260437011719, -125.17665100097656, -117.46563720703125, -123.33036041259766, -117.38912963867188, -124.96402740478516, -118.10702514648438, -111.05830383300781, -119.1212158203125, -102.0164794921875, -117.93515014648438, -117.80963134765625, -111.5401611328125, -121.72196960449219, -114.13792419433594, -119.55309295654297, -112.30994415283203, -112.10238647460938, -112.67568969726562, -113.27714538574219, -114.765625, -115.60247802734375, -105.64842224121094, -109.59944152832031, -112.09343719482422, -110.70382690429688, -106.3726806640625, -107.328369140625, -108.54754638671875, -114.25340270996094, -107.93428039550781, -110.63810729980469, -112.84520721435547, -111.54627227783203, -105.5230941772461, -103.73918914794922, -107.43246459960938, -112.14435577392578, -103.49242401123047, -101.40699005126953, -114.08556365966797, -108.22856903076172, -111.90332794189453, -103.65106964111328, -94.77253723144531, -103.69905853271484, -111.33975219726562, -107.8282241821289, -106.1566162109375, -104.45718383789062, -112.95315551757812, -107.41670989990234, -107.13911437988281, -110.72697448730469, -100.77643585205078, -105.80252075195312, -98.80696105957031]","[15.681419372558594, 15.743078231811523, 15.760330200195312, 15.71365737915039, 15.780101776123047, 15.839286804199219, 15.757298469543457, 15.698612213134766, 15.768546104431152, 15.719244956970215, 15.697320938110352, 15.826078414916992, 15.691361427307129, 15.695672988891602, 15.737415313720703, 15.744342803955078, 15.87618350982666, 15.63192081451416, 15.730862617492676, 15.69515323638916, 15.720399856567383, 15.687530517578125, 15.744485855102539, 15.72238540649414, 15.680124282836914, 15.745484352111816, 15.741598129272461, 15.638879776000977, 15.61153793334961, 15.621872901916504, 15.453081130981445, 15.676633834838867, 15.543716430664062, 15.631853103637695, 15.547764778137207, 15.624704360961914, 15.716764450073242, 15.603510856628418, 15.646944046020508, 15.706305503845215, 15.664518356323242, 15.612266540527344, 15.483943939208984, 15.733926773071289, 15.66455364227295, 15.554075241088867, 15.825109481811523, 15.672809600830078, 15.600534439086914, 15.482122421264648, 15.53261661529541, 15.545638084411621, 15.672689437866211, 15.572429656982422, 15.724447250366211, 15.52127456665039, 15.560468673706055, 15.570141792297363, 15.589205741882324, 15.577926635742188, 15.542764663696289, 15.5211181640625, 15.422489166259766]",15.660629272460938,13.870784759521484
