epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[177.69744873046875, 254.94737243652344, 450.63555908203125, 496.26556396484375, 634.9825439453125, 766.952880859375, 813.2493896484375, 892.5050659179688, 897.1759643554688, 932.8385009765625, 989.4576416015625, 1007.6384887695312, 951.2637939453125, 981.7683715820312, 1031.180419921875, 1044.34521484375, 1051.453857421875, 1028.3248291015625, 1013.5653076171875, 1012.1688232421875, 1042.82958984375, 1020.0453491210938, 1043.74951171875, 1027.635009765625, 1002.2401123046875, 1019.0836181640625, 1023.779541015625, 1053.4366455078125, 998.845458984375, 1030.125732421875, 998.2591552734375, 1027.6600341796875, 990.595947265625, 1007.2208862304688, 991.9207763671875, 996.0635986328125, 948.211181640625, 990.2159423828125, 1010.9852294921875, 973.83447265625, 1006.2642211914062, 981.4583740234375, 1018.5838012695312, 980.7191162109375, 982.4573364257812, 1008.6417846679688, 992.8583984375, 976.34814453125, 965.08544921875, 970.681884765625, 1017.6806640625, 943.6978149414062, 982.2564086914062, 1009.5240478515625, 981.2634887695312, 900.0828857421875, 923.86669921875, 952.251220703125, 931.208984375, 918.9847412109375, 902.2926635742188, 951.1207275390625, 953.0859375]","[28.186824798583984, 27.117916107177734, 26.095998764038086, 25.586212158203125, 24.786781311035156, 23.934602737426758, 23.146312713623047, 22.079730987548828, 21.58585548400879, 20.77993392944336, 20.3017520904541, 19.986312866210938, 19.657567977905273, 19.390304565429688, 19.175533294677734, 18.871665954589844, 18.687026977539062, 18.608932495117188, 18.361919403076172, 18.038589477539062, 18.280763626098633, 18.029611587524414, 17.902366638183594, 17.822689056396484, 17.588172912597656, 17.46849822998047, 17.218151092529297, 17.43900489807129, 17.250411987304688, 16.962303161621094, 17.419082641601562, 17.186309814453125, 17.1080322265625, 17.156394958496094, 17.085567474365234, 17.03789520263672, 17.306232452392578, 17.298171997070312, 17.267011642456055, 17.133583068847656, 17.397735595703125, 17.392419815063477, 17.123428344726562, 17.320968627929688, 17.529197692871094, 17.334423065185547, 17.135833740234375, 17.318660736083984, 17.078899383544922, 17.029869079589844, 16.921955108642578, 16.979219436645508, 17.165485382080078, 16.901702880859375, 17.10702896118164, 16.850936889648438, 16.935306549072266, 16.858219146728516, 16.78533935546875, 17.055150985717773, 17.104000091552734, 16.94013023376465, 16.804122924804688]",18.672130584716797,15.299625396728516
1,"[-96.12916564941406, -102.1739273071289, -107.77511596679688, -80.83714294433594, -82.76461791992188, -87.94419860839844, -79.83944702148438, -68.57000732421875, -89.08089447021484, -85.24205780029297, -70.23100280761719, -77.00421142578125, -89.82998657226562, -74.00585174560547, -58.8775634765625, -83.38339233398438, -70.3026123046875, -80.57946014404297, -75.23992156982422, -44.390201568603516, -55.80009460449219, -54.67530059814453, -55.22526550292969, -51.81611633300781, -69.11852264404297, -81.34848022460938, -44.08470916748047, -60.410343170166016, -42.69818878173828, -66.53883361816406, -57.86668395996094, -67.60823059082031, -43.527931213378906, -71.06069946289062, -39.889217376708984, -64.09365844726562, -101.63417053222656, -67.09395599365234, -51.962745666503906, -43.669960021972656, -43.516265869140625, -40.65266418457031, -47.98930358886719, -52.4041633605957, -36.65538787841797, -23.014310836791992, -59.50651168823242, -63.446617126464844, -46.488285064697266, -42.09729766845703, -58.496482849121094, -40.64595031738281, -47.3878173828125, -63.129146575927734, -54.78741455078125, -69.16824340820312, -22.684066772460938, -37.396881103515625, -49.64677047729492, -46.437416076660156, -36.514427185058594, -51.12492752075195, -31.974828720092773]","[16.87348175048828, 16.721614837646484, 16.48512840270996, 16.477527618408203, 16.546875, 16.556795120239258, 16.516735076904297, 16.32762908935547, 16.460418701171875, 16.233585357666016, 16.412107467651367, 16.29883575439453, 16.282827377319336, 16.439573287963867, 16.276023864746094, 16.40477752685547, 16.25428009033203, 16.218219757080078, 16.176963806152344, 16.139253616333008, 16.05286979675293, 16.108692169189453, 16.175804138183594, 16.288061141967773, 16.263671875, 16.522043228149414, 16.118247985839844, 16.23569107055664, 16.04921531677246, 16.071468353271484, 16.182052612304688, 16.112741470336914, 16.16896629333496, 16.02655792236328, 16.065223693847656, 15.996397972106934, 16.29175567626953, 16.13564109802246, 15.975308418273926, 15.84355354309082, 16.18465232849121, 15.914718627929688, 16.064056396484375, 16.08431625366211, 15.876720428466797, 15.983796119689941, 16.064971923828125, 15.94450569152832, 15.999662399291992, 15.849828720092773, 16.167755126953125, 15.840463638305664, 16.042736053466797, 15.963998794555664, 15.942848205566406, 15.895018577575684, 15.897269248962402, 16.033428192138672, 16.092681884765625, 15.999391555786133, 16.0266170501709, 16.042667388916016, 16.052440643310547]",16.171600341796875,14.096975326538086
2,"[-134.2648468017578, -138.3443603515625, -135.89837646484375, -132.86727905273438, -131.58914184570312, -139.56967163085938, -122.19182586669922, -128.2823486328125, -135.54917907714844, -119.85443115234375, -125.75070190429688, -124.60806274414062, -118.16975402832031, -134.068603515625, -125.65592956542969, -128.01649475097656, -138.54115295410156, -115.03007507324219, -128.384765625, -133.80508422851562, -117.87285614013672, -119.81886291503906, -109.32781219482422, -125.51239776611328, -127.82402038574219, -124.30500793457031, -116.39141845703125, -126.97615051269531, -114.14791870117188, -123.37754821777344, -118.21484375, -127.24070739746094, -129.3761444091797, -115.014892578125, -119.83279418945312, -128.55931091308594, -115.14926147460938, -118.88702392578125, -124.0121078491211, -101.28642272949219, -117.64077758789062, -117.67192077636719, -110.43912506103516, -121.56031799316406, -123.09679412841797, -120.41878509521484, -119.92317199707031, -110.69613647460938, -117.38675689697266, -115.01839447021484, -122.70799255371094, -118.36798095703125, -117.68899536132812, -122.23556518554688, -119.94659423828125, -123.4767837524414, -119.6118392944336, -118.90020751953125, -121.30020904541016, -122.1048355102539, -108.98382568359375, -111.55905151367188, -117.50559997558594]","[15.987154006958008, 16.085308074951172, 16.052215576171875, 16.00112533569336, 15.99711799621582, 16.007802963256836, 16.02366065979004, 15.926680564880371, 15.794103622436523, 15.962067604064941, 15.935892105102539, 15.980066299438477, 15.990468978881836, 15.909897804260254, 16.01755142211914, 15.842904090881348, 15.79178237915039, 15.90677261352539, 15.909839630126953, 15.874602317810059, 15.895723342895508, 15.914359092712402, 15.842710494995117, 15.883285522460938, 15.853537559509277, 15.815003395080566, 15.874549865722656, 15.961206436157227, 15.845576286315918, 15.893091201782227, 15.912610054016113, 15.908402442932129, 15.796759605407715, 15.848939895629883, 15.863341331481934, 15.906737327575684, 15.660102844238281, 15.838842391967773, 16.006986618041992, 15.682302474975586, 15.939212799072266, 15.850156784057617, 15.91406536102295, 15.8953218460083, 15.800045013427734, 15.87044906616211, 15.894014358520508, 15.813898086547852, 15.806876182556152, 15.646172523498535, 15.804621696472168, 15.857597351074219, 15.730926513671875, 15.831010818481445, 15.910833358764648, 15.911073684692383, 15.956040382385254, 15.871197700500488, 15.823598861694336, 15.76152229309082, 15.74275016784668, 15.842087745666504, 15.669157028198242]",15.880146980285645,13.959696769714355
3,"[-129.34397888183594, -119.74949645996094, -131.7494354248047, -129.20065307617188, -125.6947021484375, -134.6500244140625, -130.94735717773438, -133.46688842773438, -123.39262390136719, -125.6721420288086, -124.7518539428711, -118.6700439453125, -125.22203063964844, -121.15420532226562, -117.22483825683594, -125.9652099609375, -120.72547912597656, -130.7759246826172, -133.6552734375, -115.7347183227539, -117.0446548461914, -118.12332916259766, -113.45541381835938, -118.97587585449219, -119.35997009277344, -124.48959350585938, -118.68524169921875, -120.06087493896484, -120.35023498535156, -131.69273376464844, -129.8906707763672, -116.42662811279297, -119.93205261230469, -122.01985168457031, -121.89054870605469, -132.66134643554688, -119.90337371826172, -122.56689453125, -135.03683471679688, -125.92503356933594, -111.53347778320312, -127.55217742919922, -124.44503784179688, -119.3713607788086, -111.52345275878906, -119.3393783569336, -130.92483520507812, -118.91505432128906, -117.63833618164062, -131.58352661132812, -116.99003601074219, -120.79576110839844, -131.38592529296875, -124.504638671875, -124.73345947265625, -120.35560607910156, -120.29557800292969, -120.4969482421875, -118.72169494628906, -126.68783569335938, -122.93309020996094, -119.1370849609375, -133.38418579101562]","[15.67983627319336, 15.71817398071289, 15.85634708404541, 15.857392311096191, 15.80921745300293, 15.75636100769043, 15.883190155029297, 15.9048490524292, 15.749038696289062, 15.672002792358398, 15.787483215332031, 15.630620956420898, 15.782390594482422, 15.800731658935547, 15.692710876464844, 15.886669158935547, 15.630578994750977, 15.713316917419434, 15.850654602050781, 15.592418670654297, 15.76127815246582, 15.699524879455566, 15.489114761352539, 15.629070281982422, 15.874200820922852, 15.697470664978027, 15.723125457763672, 15.681991577148438, 15.671546936035156, 15.750509262084961, 15.774591445922852, 15.689226150512695, 15.758635520935059, 15.716606140136719, 15.679605484008789, 15.751763343811035, 15.731685638427734, 15.70846176147461, 15.721807479858398, 15.756184577941895, 15.587577819824219, 15.886250495910645, 15.704076766967773, 15.668312072753906, 15.578042984008789, 15.674291610717773, 15.665842056274414, 15.927116394042969, 15.528911590576172, 15.903017044067383, 15.723007202148438, 15.693258285522461, 15.669124603271484, 15.707618713378906, 15.804197311401367, 15.646011352539062, 15.754364013671875, 15.768743515014648, 15.658895492553711, 15.789152145385742, 15.639095306396484, 15.673093795776367, 15.781624794006348]",15.72898006439209,13.87692642211914
4,"[-125.38520812988281, -130.73355102539062, -117.90145874023438, -132.36605834960938, -132.9723663330078, -116.9749755859375, -136.15878295898438, -133.31784057617188, -128.0565185546875, -135.66925048828125, -133.11605834960938, -125.2232894897461, -130.86541748046875, -132.98318481445312, -127.58464050292969, -132.9346923828125, -129.7841339111328, -138.36160278320312, -127.5255126953125, -112.25704956054688, -121.72085571289062, -131.05490112304688, -124.99826049804688, -125.04263305664062, -125.39468383789062, -127.38703155517578, -144.081787109375, -119.1399154663086, -125.79823303222656, -125.18170928955078, -123.70918273925781, -128.3435516357422, -123.06604766845703, -132.7445068359375, -114.97039794921875, -119.26296997070312, -126.89757537841797, -117.0829849243164, -127.08940887451172, -123.57595825195312, -131.48619079589844, -120.48202514648438, -115.51876831054688, -122.25993347167969, -129.07081604003906, -125.35400390625, -120.41014862060547, -136.10809326171875, -121.4216537475586, -118.54611206054688, -126.58847045898438, -122.78174591064453, -127.3206787109375, -124.71882629394531, -129.11354064941406, -124.22510528564453, -117.45333099365234, -118.45816040039062, -123.14881134033203, -121.37576293945312, -114.61338806152344, -132.40631103515625, -126.07548522949219]","[15.75638484954834, 15.52171516418457, 15.56428337097168, 15.60356616973877, 15.719461441040039, 15.679732322692871, 15.865983009338379, 15.7558012008667, 15.814617156982422, 15.800567626953125, 15.751352310180664, 15.588804244995117, 15.738097190856934, 15.732816696166992, 15.652265548706055, 15.523299217224121, 15.642845153808594, 15.928019523620605, 15.514507293701172, 15.598861694335938, 15.701776504516602, 15.68676471710205, 15.575515747070312, 15.708526611328125, 15.724677085876465, 15.688433647155762, 15.687084197998047, 15.760418891906738, 15.748083114624023, 15.654300689697266, 15.65078353881836, 15.564167022705078, 15.734916687011719, 15.82166576385498, 15.61642074584961, 15.76511001586914, 15.566705703735352, 15.769912719726562, 15.51905632019043, 15.589225769042969, 15.628032684326172, 15.655743598937988, 15.6927490234375, 15.585891723632812, 15.701841354370117, 15.509201049804688, 15.699016571044922, 15.653082847595215, 15.568901062011719, 15.641274452209473, 15.719438552856445, 15.507261276245117, 15.657901763916016, 15.699319839477539, 15.567045211791992, 15.59782886505127, 15.592658042907715, 15.624504089355469, 15.635664939880371, 15.657103538513184, 15.617399215698242, 15.75716781616211, 15.303608894348145]",15.662518501281738,13.835599899291992
5,"[-121.04658508300781, -126.81547546386719, -118.90306854248047, -124.16209411621094, -129.86172485351562, -122.4298095703125, -128.01580810546875, -115.83636474609375, -131.80966186523438, -130.5840301513672, -129.87115478515625, -123.68455505371094, -123.03109741210938, -124.78563690185547, -120.2684326171875, -118.21913146972656, -120.77227783203125, -125.95822143554688, -130.26785278320312, -129.67068481445312, -127.46736145019531, -122.26849365234375, -125.2768325805664, -123.26509094238281, -124.4759292602539, -116.52261352539062, -126.59749603271484, -118.48941040039062, -125.275634765625, -130.318115234375, -129.8085174560547, -117.63517761230469, -111.49308013916016, -129.15699768066406, -125.27130126953125, -117.78672790527344, -116.36592102050781, -118.25609588623047, -123.42005920410156, -109.64226531982422, -117.7629623413086, -130.1837615966797, -119.1714096069336, -120.05374908447266, -116.85372924804688, -116.40299224853516, -122.63536071777344, -121.94966125488281, -124.77249145507812, -117.92984008789062, -115.68521881103516, -109.38971710205078, -118.61802673339844, -124.620849609375, -115.65782928466797, -115.19882202148438, -127.05143737792969, -122.4830551147461, -112.39949035644531, -133.8326416015625, -129.448974609375, -120.90165710449219, -114.09263610839844]","[15.630315780639648, 15.676416397094727, 15.670988082885742, 15.627742767333984, 15.567628860473633, 15.664426803588867, 15.602964401245117, 15.465102195739746, 15.80238151550293, 15.698238372802734, 15.867269515991211, 15.660849571228027, 15.682586669921875, 15.53068733215332, 15.401521682739258, 15.597282409667969, 15.564809799194336, 15.500091552734375, 15.602667808532715, 15.660091400146484, 15.509471893310547, 15.640491485595703, 15.739058494567871, 15.656022071838379, 15.519807815551758, 15.638320922851562, 15.537985801696777, 15.71418285369873, 15.665496826171875, 15.707249641418457, 15.575702667236328, 15.643363952636719, 15.605944633483887, 15.63045883178711, 15.473758697509766, 15.649526596069336, 15.516457557678223, 15.533214569091797, 15.528433799743652, 15.537200927734375, 15.621183395385742, 15.578794479370117, 15.475138664245605, 15.582448959350586, 15.647012710571289, 15.737691879272461, 15.534736633300781, 15.50994873046875, 15.612215042114258, 15.688558578491211, 15.653186798095703, 15.546730995178223, 15.630159378051758, 15.714190483093262, 15.631420135498047, 15.661456108093262, 15.598297119140625, 15.651509284973145, 15.482282638549805, 15.624923706054688, 15.55219841003418, 15.697815895080566, 15.613658905029297]",15.611759185791016,13.867195129394531
6,"[-124.46302795410156, -123.7294921875, -128.12258911132812, -125.21234893798828, -127.25460815429688, -132.4897003173828, -129.75698852539062, -119.40962219238281, -120.69151306152344, -125.12027740478516, -127.62220764160156, -108.94194030761719, -124.5491943359375, -118.2449951171875, -119.49435424804688, -120.33311462402344, -122.24835968017578, -115.00377655029297, -115.40274047851562, -122.17676544189453, -121.99042510986328, -122.2880859375, -122.40608978271484, -119.55281066894531, -118.03466033935547, -115.84918212890625, -116.58634948730469, -118.319091796875, -117.39524841308594, -125.697021484375, -119.29994201660156, -124.52186584472656, -121.46052551269531, -112.03193664550781, -117.54077911376953, -123.8772201538086, -120.19354248046875, -123.93048858642578, -124.2779769897461, -113.44023895263672, -117.92462158203125, -118.49889373779297, -124.20693969726562, -123.26655578613281, -110.69503784179688, -118.16429138183594, -120.52001953125, -122.0035400390625, -131.82855224609375, -121.130126953125, -110.54590606689453, -117.84373474121094, -119.67800903320312, -112.99041748046875, -110.58106994628906, -118.90630340576172, -127.44123077392578, -110.81117248535156, -125.56737518310547, -121.16989135742188, -113.40287780761719, -105.23219299316406, -110.63951873779297]","[15.601644515991211, 15.747896194458008, 15.691059112548828, 15.491133689880371, 15.714259147644043, 15.746012687683105, 15.451787948608398, 15.530601501464844, 15.569828033447266, 15.606725692749023, 15.721482276916504, 15.683595657348633, 15.61782169342041, 15.544085502624512, 15.624332427978516, 15.557161331176758, 15.65263843536377, 15.56865119934082, 15.603035926818848, 15.660807609558105, 15.721616744995117, 15.585698127746582, 15.719438552856445, 15.509517669677734, 15.619540214538574, 15.499763488769531, 15.559328079223633, 15.774181365966797, 15.523496627807617, 15.598297119140625, 15.573186874389648, 15.527437210083008, 15.690569877624512, 15.445880889892578, 15.530887603759766, 15.709661483764648, 15.640556335449219, 15.68465518951416, 15.655058860778809, 15.703941345214844, 15.695395469665527, 15.55388069152832, 15.52674674987793, 15.663105010986328, 15.635319709777832, 15.61513614654541, 15.61168098449707, 15.453409194946289, 15.654333114624023, 15.714954376220703, 15.456491470336914, 15.525497436523438, 15.57412052154541, 15.487661361694336, 15.509614944458008, 15.589773178100586, 15.808140754699707, 15.470361709594727, 15.571073532104492, 15.657873153686523, 15.49435806274414, 15.311358451843262, 15.487064361572266]",15.599698066711426,13.722184181213379
7,"[-109.26296997070312, -123.47477722167969, -126.98846435546875, -129.62246704101562, -117.73471069335938, -126.83604431152344, -128.15318298339844, -131.76174926757812, -133.0810546875, -126.02729797363281, -130.6273956298828, -129.23779296875, -122.79474639892578, -120.17555236816406, -128.36325073242188, -131.5821990966797, -128.2357177734375, -129.6063232421875, -133.94581604003906, -128.58624267578125, -131.39517211914062, -122.54512023925781, -116.91117858886719, -117.47703552246094, -111.21129608154297, -122.83685302734375, -120.08745574951172, -118.52970886230469, -114.86384582519531, -122.30281066894531, -124.33901977539062, -121.12103271484375, -118.41722106933594, -125.83100891113281, -121.4626235961914, -121.8570327758789, -116.85174560546875, -119.11414337158203, -130.40170288085938, -130.07643127441406, -129.165283203125, -122.830322265625, -117.82547760009766, -111.84820556640625, -123.92211151123047, -120.46788787841797, -116.4963150024414, -125.22433471679688, -113.79263305664062, -121.64401245117188, -110.52328491210938, -122.16659545898438, -122.65270233154297, -119.8082046508789, -122.7070083618164, -127.73283386230469, -115.90646362304688, -120.95603942871094, -122.92056274414062, -125.47091674804688, -122.8817138671875, -117.53314208984375, -133.12405395507812]","[15.371601104736328, 15.48767375946045, 15.595256805419922, 15.621133804321289, 15.429518699645996, 15.459875106811523, 15.62475299835205, 15.635196685791016, 15.545051574707031, 15.61069107055664, 15.48526382446289, 15.659866333007812, 15.503199577331543, 15.603500366210938, 15.4444580078125, 15.598320960998535, 15.574642181396484, 15.659896850585938, 15.85081672668457, 15.653034210205078, 15.63283920288086, 15.504191398620605, 15.495576858520508, 15.494893074035645, 15.416105270385742, 15.453078269958496, 15.361957550048828, 15.52393627166748, 15.414276123046875, 15.579776763916016, 15.708471298217773, 15.489481925964355, 15.436195373535156, 15.388067245483398, 15.410103797912598, 15.592118263244629, 15.395750045776367, 15.555368423461914, 15.5613431930542, 15.522567749023438, 15.529129028320312, 15.404982566833496, 15.635115623474121, 15.557228088378906, 15.485357284545898, 15.39242172241211, 15.346129417419434, 15.606971740722656, 15.4048433303833, 15.491092681884766, 15.36141586303711, 15.36201000213623, 15.63281536102295, 15.371927261352539, 15.34873104095459, 15.50592041015625, 15.434606552124023, 15.544147491455078, 15.510919570922852, 15.446006774902344, 15.496334075927734, 15.498380661010742, 15.616952896118164]",15.512396812438965,13.739747047424316
8,"[-123.14004516601562, -126.12965393066406, -122.60562896728516, -125.52125549316406, -118.87454223632812, -117.6568832397461, -118.84945678710938, -124.4626693725586, -113.9962158203125, -128.31607055664062, -128.29071044921875, -121.27751159667969, -138.48919677734375, -132.1677703857422, -120.68180847167969, -125.2686767578125, -123.45014953613281, -118.03961181640625, -124.39228820800781, -120.90028381347656, -127.52693939208984, -123.09613800048828, -125.19961547851562, -128.63136291503906, -120.38011169433594, -125.05742645263672, -131.61801147460938, -121.90155792236328, -121.2776870727539, -125.29281616210938, -120.65664672851562, -124.5089111328125, -121.03695678710938, -124.65406799316406, -118.21788024902344, -120.22383880615234, -121.07772827148438, -128.42401123046875, -124.74012756347656, -116.27615356445312, -118.39949035644531, -122.62448120117188, -124.12360382080078, -117.8756332397461, -124.20439910888672, -107.43415832519531, -109.49957275390625, -116.82258605957031, -119.09867858886719, -111.47630310058594, -117.4237289428711, -112.75169372558594, -118.64849853515625, -114.49932861328125, -122.85064697265625, -118.55125427246094, -110.35816192626953, -126.48394775390625, -123.38179016113281, -123.99873352050781, -114.49896240234375, -116.60381317138672, -101.11148071289062]","[15.42098617553711, 15.554037094116211, 15.590742111206055, 15.460986137390137, 15.533601760864258, 15.469507217407227, 15.419195175170898, 15.545404434204102, 15.460319519042969, 15.401079177856445, 15.443826675415039, 15.428505897521973, 15.581750869750977, 15.518335342407227, 15.49100112915039, 15.52579116821289, 15.37985610961914, 15.37193775177002, 15.489851951599121, 15.402999877929688, 15.510852813720703, 15.42623519897461, 15.526754379272461, 15.501363754272461, 15.422100067138672, 15.503056526184082, 15.488377571105957, 15.379551887512207, 15.479930877685547, 15.41530990600586, 15.428361892700195, 15.447652816772461, 15.46812629699707, 15.600015640258789, 15.418298721313477, 15.406850814819336, 15.434480667114258, 15.474958419799805, 15.540635108947754, 15.48314094543457, 15.49623966217041, 15.520246505737305, 15.509401321411133, 15.426929473876953, 15.461637496948242, 15.334342956542969, 15.37604808807373, 15.435503005981445, 15.489897727966309, 15.331329345703125, 15.424016952514648, 15.433619499206543, 15.452716827392578, 15.392633438110352, 15.51803970336914, 15.435853004455566, 15.40472412109375, 15.519136428833008, 15.569794654846191, 15.526253700256348, 15.443389892578125, 15.41179084777832, 15.382759094238281]",15.463212013244629,13.68155288696289
9,"[-118.10610961914062, -121.38433074951172, -123.11688995361328, -120.35731506347656, -114.1614990234375, -117.72193908691406, -117.08332824707031, -114.46570587158203, -125.89754486083984, -120.67439270019531, -118.67139434814453, -119.76832580566406, -116.09566497802734, -116.12761688232422, -111.26278686523438, -104.70066833496094, -114.26107788085938, -119.75228881835938, -113.48124694824219, -107.26214599609375, -113.37625885009766, -121.5294189453125, -119.08055877685547, -115.50093078613281, -109.93563842773438, -113.66239166259766, -113.86137390136719, -118.57037353515625, -114.21871948242188, -115.40447998046875, -117.0075912475586, -112.05865478515625, -118.98486328125, -116.84196472167969, -122.2397689819336, -118.58509826660156, -120.4330062866211, -111.89393615722656, -114.97535705566406, -123.02437591552734, -118.48841094970703, -115.9891586303711, -120.3061752319336, -118.95892333984375, -119.04454040527344, -130.47276306152344, -129.794189453125, -120.88713836669922, -119.77042388916016, -125.12609100341797, -117.25013732910156, -119.40472412109375, -112.9041519165039, -110.6556396484375, -121.56066131591797, -116.18437194824219, -115.9015884399414, -103.38967895507812, -115.11183166503906, -112.76114654541016, -106.20198059082031, -118.1634292602539, -113.50949096679688]","[15.328499794006348, 15.558805465698242, 15.47472858428955, 15.394989013671875, 15.410139083862305, 15.390974998474121, 15.385430335998535, 15.371515274047852, 15.356644630432129, 15.482215881347656, 15.434551239013672, 15.507113456726074, 15.322663307189941, 15.454512596130371, 15.307022094726562, 15.353287696838379, 15.471626281738281, 15.407444953918457, 15.297599792480469, 15.279546737670898, 15.337606430053711, 15.294140815734863, 15.362820625305176, 15.326375007629395, 15.245692253112793, 15.461990356445312, 15.451173782348633, 15.524904251098633, 15.37307357788086, 15.486696243286133, 15.435927391052246, 15.347796440124512, 15.41174602508545, 15.397510528564453, 15.50965690612793, 15.439811706542969, 15.441932678222656, 15.16994857788086, 15.44845962524414, 15.609152793884277, 15.457508087158203, 15.476341247558594, 15.288261413574219, 15.649321556091309, 15.681328773498535, 15.347997665405273, 15.633115768432617, 15.394887924194336, 15.541698455810547, 15.396064758300781, 15.47100830078125, 15.554372787475586, 15.425382614135742, 15.481863021850586, 15.471763610839844, 15.385913848876953, 15.440009117126465, 15.26952838897705, 15.258957862854004, 15.415607452392578, 15.433255195617676, 15.525423049926758, 15.262422561645508]",15.419145584106445,13.598382949829102
