epoch,losses_per_batch,avg_tl_batch_train,avg_tl_epoch_train,avg_tl_epoch_val
0,"[-62.706661224365234, -39.92057800292969, -0.7234258651733398, 45.872947692871094, 49.169593811035156, 40.142738342285156, 21.392976760864258, 67.66889190673828, 39.23432540893555, 70.2178726196289, 37.25138854980469, 22.8765811920166, -76.85855865478516, -53.08014678955078, -5.991050720214844, -30.784683227539062, 21.556936264038086, 13.108728408813477, -63.793357849121094, -92.31248474121094, -49.639007568359375, -99.27938842773438, -123.78614044189453, -160.9178009033203, -243.34228515625, -347.98614501953125, -479.569580078125, -558.34619140625, -490.3020324707031, -617.7217407226562, -577.4705810546875, -624.2072143554688, -713.4451293945312, -716.871337890625, -660.2139892578125, -647.4662475585938, -759.1611328125, -816.3165283203125, -654.6212158203125, -673.5582275390625, -634.3407592773438, -583.082275390625, -653.5071411132812, -551.70947265625, -616.2581176757812, -541.9529418945312, -538.875, -412.9305114746094, -364.1981201171875, -528.162109375, -373.32757568359375, -387.07452392578125, -505.4652404785156, -499.65411376953125, -482.19830322265625, -389.3032531738281, -399.6300048828125, -338.93084716796875, -208.9178466796875, -306.234130859375, -237.95556640625, -270.2478942871094, -345.68707275390625]","[24.015974044799805, 23.479154586791992, 22.947372436523438, 22.99014663696289, 22.350128173828125, 22.306198120117188, 22.962352752685547, 22.06917953491211, 21.58893585205078, 21.46108055114746, 22.049484252929688, 22.550159454345703, 23.720340728759766, 23.273029327392578, 23.075786590576172, 22.851207733154297, 22.81608009338379, 22.865501403808594, 23.260574340820312, 23.515308380126953, 24.166654586791992, 24.45311164855957, 24.77783203125, 25.739402770996094, 26.081462860107422, 26.652769088745117, 27.461929321289062, 28.54686737060547, 27.681243896484375, 27.923564910888672, 28.700031280517578, 28.52139663696289, 29.317481994628906, 29.905792236328125, 29.66619110107422, 29.105321884155273, 29.16426658630371, 29.822919845581055, 28.94997215270996, 28.934467315673828, 28.892181396484375, 28.58295249938965, 28.704986572265625, 27.915889739990234, 28.396499633789062, 28.3155460357666, 27.598800659179688, 27.259105682373047, 27.134296417236328, 27.879329681396484, 26.868261337280273, 26.565725326538086, 27.273860931396484, 27.199871063232422, 27.00188636779785, 26.467422485351562, 26.574535369873047, 26.669307708740234, 25.600893020629883, 26.045024871826172, 25.891067504882812, 26.09194564819336, 25.593799591064453]",25.97515106201172,26.26857566833496
1,"[-236.18972778320312, -270.1333312988281, -293.802734375, -383.9071960449219, -246.41453552246094, -257.67535400390625, -248.488037109375, -208.1259002685547, -277.737548828125, -137.97714233398438, -154.00437927246094, -163.2730712890625, -131.50946044921875, -162.75588989257812, -150.42811584472656, -77.12995910644531, -106.80909729003906, -98.67668151855469, -95.12832641601562, -131.5656280517578, -155.91603088378906, -58.79280090332031, -62.32164001464844, -7.444245338439941, 19.888853073120117, -47.941802978515625, -92.2491455078125, -86.22996520996094, -40.04387664794922, -69.50218963623047, -44.7777214050293, -27.70061492919922, -43.72261428833008, 13.3489990234375, -47.39435577392578, 44.4922981262207, 27.10155487060547, 59.4581298828125, 7.671929836273193, 10.525208473205566, 108.66557312011719, 32.214473724365234, 55.62143325805664, 22.2818603515625, 84.88059997558594, 69.33816528320312, 41.509788513183594, 108.46583557128906, 64.78898620605469, 143.859130859375, 36.009483337402344, -14.91114616394043, 38.146202087402344, 17.956832885742188, 30.19133758544922, 141.93728637695312, 23.090938568115234, 111.81147766113281, 103.19832611083984, 122.85868835449219, 138.88092041015625, 89.14058685302734, 130.74032592773438]","[25.399429321289062, 25.624834060668945, 25.981491088867188, 27.07651138305664, 25.66988754272461, 25.494014739990234, 24.8875732421875, 25.088375091552734, 25.144744873046875, 24.8747501373291, 24.797821044921875, 24.569290161132812, 24.273664474487305, 24.095630645751953, 24.27182388305664, 23.938308715820312, 23.7399845123291, 24.12514877319336, 23.868282318115234, 24.086551666259766, 24.029579162597656, 23.434844970703125, 23.498565673828125, 23.556612014770508, 23.493383407592773, 23.549856185913086, 23.869291305541992, 24.2861328125, 23.984127044677734, 23.7943115234375, 23.654603958129883, 23.932641983032227, 23.27027702331543, 23.392179489135742, 23.303396224975586, 23.25955581665039, 23.04636001586914, 22.774559020996094, 22.464221954345703, 22.781803131103516, 22.52429962158203, 22.314563751220703, 22.539783477783203, 22.520509719848633, 22.35254669189453, 22.028499603271484, 22.00336456298828, 22.19232177734375, 22.121501922607422, 21.73875617980957, 22.306453704833984, 22.151355743408203, 22.40432357788086, 22.47795867919922, 22.251760482788086, 22.005897521972656, 22.122318267822266, 22.046995162963867, 21.481311798095703, 21.565654754638672, 21.35165786743164, 21.25583839416504, 21.320556640625]",23.40483856201172,21.012834548950195
2,"[-65.9112548828125, -45.25187301635742, -116.2685546875, -120.46326446533203, -90.82119750976562, -165.17010498046875, -174.5062713623047, -154.17755126953125, -171.78269958496094, -182.23611450195312, -144.64947509765625, -163.74893188476562, -125.68490600585938, -120.37593078613281, -97.99481201171875, -94.0673828125, -114.70634460449219, -51.341552734375, -8.657024383544922, -65.21015930175781, -37.807472229003906, -79.07228088378906, -73.99520111083984, -48.085235595703125, -15.695226669311523, -43.93914031982422, -9.65643310546875, 12.49032974243164, -4.4715423583984375, -0.3787355422973633, -4.93692684173584, 27.787357330322266, 26.25619888305664, 32.487308502197266, 32.5581169128418, 60.41585159301758, 46.86503982543945, 26.050106048583984, 87.32780456542969, 40.912437438964844, 55.145545959472656, 66.21133422851562, 48.44548797607422, 101.99136352539062, 54.43716049194336, 63.81439208984375, 72.50509643554688, 76.06434631347656, 68.54563903808594, 56.89564895629883, 64.99473571777344, 50.54155731201172, 29.829071044921875, -12.157913208007812, -9.48377799987793, -45.840614318847656, -13.53278923034668, 21.21769905090332, 34.71418762207031, 7.0722222328186035, -17.59585952758789, -60.803890228271484, -45.261199951171875]","[21.491958618164062, 22.1236629486084, 22.2607421875, 22.70853614807129, 22.44269561767578, 23.117042541503906, 23.645702362060547, 22.995641708374023, 23.323917388916016, 23.39267349243164, 22.834226608276367, 23.199813842773438, 23.145790100097656, 22.696195602416992, 22.162370681762695, 22.35960578918457, 22.556018829345703, 21.378803253173828, 21.644386291503906, 21.569303512573242, 21.580331802368164, 21.45549774169922, 21.675220489501953, 21.011493682861328, 21.13882064819336, 21.656700134277344, 21.52614974975586, 20.954669952392578, 20.801044464111328, 20.945751190185547, 20.95313262939453, 20.2169189453125, 20.40210723876953, 20.47336196899414, 20.307334899902344, 20.35228729248047, 20.17049789428711, 20.660964965820312, 20.01561737060547, 20.00116729736328, 20.059730529785156, 19.944061279296875, 19.723543167114258, 19.752220153808594, 19.690841674804688, 19.92383575439453, 19.638351440429688, 19.868804931640625, 19.724407196044922, 19.939373016357422, 19.986164093017578, 20.239273071289062, 20.370943069458008, 21.121788024902344, 20.67017364501953, 21.228422164916992, 20.84040069580078, 20.755584716796875, 20.743608474731445, 20.593292236328125, 21.28396987915039, 21.634361267089844, 21.68429946899414]",21.21477699279785,20.842164993286133
3,"[-39.88755798339844, -40.044830322265625, -4.589113235473633, -16.049909591674805, 9.686660766601562, -0.2815217971801758, 12.993148803710938, -66.806884765625, -67.88658142089844, -59.042823791503906, -197.88238525390625, -132.90481567382812, -176.99807739257812, -104.03644561767578, -33.97297668457031, 3.933206558227539, 77.75593566894531, 65.92703247070312, 49.252845764160156, 25.513803482055664, 15.070257186889648, -2.1012954711914062, -49.992271423339844, -22.747478485107422, 29.50244140625, 24.205791473388672, 62.98906326293945, 75.683349609375, 43.338134765625, 114.9474105834961, 72.1192398071289, 61.717166900634766, 82.39161682128906, 96.7959976196289, 107.70582580566406, 54.94361877441406, 48.76909637451172, 60.178558349609375, 68.72582244873047, 24.80453872680664, 50.02910614013672, 85.95281219482422, 47.479888916015625, -20.781394958496094, 40.31099319458008, 28.001420974731445, 88.08789825439453, 31.56344223022461, 51.3673095703125, 59.0621337890625, 56.70627975463867, 83.28384399414062, 22.638673782348633, 53.56857681274414, 68.57768249511719, 91.30460357666016, 91.50437927246094, 61.65443420410156, 82.46534729003906, 83.81531524658203, 100.4820556640625, 93.45419311523438, 106.51763916015625]","[21.172393798828125, 21.324325561523438, 21.043054580688477, 20.779924392700195, 20.92481231689453, 20.481735229492188, 20.45974349975586, 20.966487884521484, 21.12885284423828, 21.261917114257812, 22.490764617919922, 21.91120147705078, 22.129384994506836, 21.521793365478516, 20.96970558166504, 20.244386672973633, 19.464221954345703, 19.42420196533203, 20.002891540527344, 20.305931091308594, 20.462467193603516, 20.904563903808594, 21.128774642944336, 21.042335510253906, 20.887914657592773, 20.365800857543945, 20.118328094482422, 19.894800186157227, 19.743364334106445, 19.718585968017578, 19.70580291748047, 19.67877197265625, 19.59331512451172, 19.708850860595703, 19.533763885498047, 19.83719825744629, 20.02536964416504, 19.900535583496094, 19.67313003540039, 20.052806854248047, 20.15848731994629, 20.065073013305664, 20.095123291015625, 20.456375122070312, 20.142024993896484, 20.351058959960938, 20.10539436340332, 20.254268646240234, 20.110145568847656, 19.987762451171875, 20.11724853515625, 19.926660537719727, 19.808313369750977, 19.696577072143555, 19.662063598632812, 19.673324584960938, 19.594202041625977, 19.657384872436523, 19.63821029663086, 19.834510803222656, 19.652877807617188, 19.397356033325195, 19.417579650878906]",20.28923988342285,17.611591339111328
4,"[-157.8072967529297, -138.15545654296875, -161.30653381347656, -143.89016723632812, -166.80934143066406, -137.440673828125, -167.6958465576172, -158.82891845703125, -169.95433044433594, -149.85836791992188, -145.38392639160156, -133.04344177246094, -149.84576416015625, -143.1131591796875, -130.3443145751953, -147.96197509765625, -163.1916046142578, -138.6292724609375, -153.776611328125, -113.26545715332031, -129.71697998046875, -117.7824935913086, -135.0399169921875, -108.63882446289062, -106.26235961914062, -140.0127410888672, -97.41775512695312, -109.76234436035156, -93.68243408203125, -99.37034606933594, -89.4029769897461, -105.17193603515625, -102.56146240234375, -97.6387939453125, -72.14398193359375, -104.27816772460938, -91.80477142333984, -134.9895782470703, -85.23812866210938, -119.1298828125, -96.03472900390625, -99.73089599609375, -89.22998046875, -80.43214416503906, -92.01293182373047, -80.44206237792969, -83.71124267578125, -55.80712127685547, -64.84516906738281, -67.38031005859375, -51.022090911865234, -60.46720886230469, -68.49156188964844, -53.800533294677734, -70.7755126953125, -49.82795715332031, -53.41196060180664, -46.79906463623047, -97.07317352294922, -53.915340423583984, -44.85904312133789, -53.71672058105469, -40.66945266723633]","[19.386547088623047, 19.307056427001953, 19.646326065063477, 19.794466018676758, 19.649383544921875, 19.645431518554688, 19.52600860595703, 19.811960220336914, 19.398616790771484, 19.44625473022461, 19.759811401367188, 19.662120819091797, 19.332412719726562, 19.57721710205078, 19.495336532592773, 19.666820526123047, 19.674816131591797, 19.297679901123047, 19.301326751708984, 19.472728729248047, 19.21146583557129, 19.136066436767578, 19.025676727294922, 18.976520538330078, 19.061859130859375, 18.957923889160156, 19.190298080444336, 19.114131927490234, 18.8116455078125, 19.157691955566406, 19.0712890625, 19.107685089111328, 18.859153747558594, 18.9482421875, 18.88394546508789, 19.160749435424805, 19.14527130126953, 19.708948135375977, 19.31383514404297, 19.48753547668457, 19.38254165649414, 18.92490005493164, 19.004226684570312, 18.814884185791016, 19.362947463989258, 18.84933853149414, 18.937274932861328, 18.546003341674805, 18.733585357666016, 18.60238265991211, 18.415664672851562, 18.676498413085938, 18.52349281311035, 18.525665283203125, 18.660442352294922, 18.5205020904541, 18.53960418701172, 18.759735107421875, 18.351970672607422, 18.272018432617188, 18.55803680419922, 18.1785945892334, 18.261137008666992]",19.095251083374023,16.655519485473633
5,"[-115.80351257324219, -105.23307800292969, -106.64680480957031, -108.28375244140625, -116.8863296508789, -108.8006362915039, -111.794189453125, -111.76866149902344, -92.89334106445312, -108.45191192626953, -104.94180297851562, -103.72749328613281, -127.06903076171875, -105.36302947998047, -104.11027526855469, -107.67642211914062, -107.72615814208984, -104.36216735839844, -109.90768432617188, -100.64319610595703, -107.50166320800781, -98.07647705078125, -96.33743286132812, -89.74706268310547, -84.717041015625, -92.80728912353516, -98.03174591064453, -96.56584167480469, -85.70428466796875, -99.98560333251953, -100.04206085205078, -81.81655883789062, -83.13280487060547, -81.38640594482422, -61.277103424072266, -92.93525695800781, -76.23271942138672, -79.94526672363281, -79.2327651977539, -70.17610168457031, -75.23219299316406, -68.57499694824219, -53.029991149902344, -86.89926147460938, -65.0081787109375, -67.92091369628906, -51.548553466796875, -47.94055938720703, -74.83831787109375, -82.4332504272461, -85.98066711425781, -59.772361755371094, -61.38728713989258, -57.189781188964844, -62.13108825683594, -52.05848693847656, -57.381561279296875, -58.109710693359375, -56.68589782714844, -48.827430725097656, -45.69237518310547, -36.77589797973633, -49.1187858581543]","[18.333309173583984, 18.303298950195312, 18.411758422851562, 18.60344123840332, 18.373714447021484, 18.546154022216797, 18.32434844970703, 18.382198333740234, 18.428375244140625, 18.364280700683594, 18.500343322753906, 18.366374969482422, 18.561506271362305, 18.368345260620117, 18.23334312438965, 18.520980834960938, 18.376750946044922, 18.199607849121094, 18.32392120361328, 18.34650993347168, 18.118309020996094, 18.338890075683594, 18.513301849365234, 18.3879451751709, 18.176799774169922, 18.275726318359375, 18.20145034790039, 18.288864135742188, 18.216888427734375, 18.369731903076172, 18.215206146240234, 18.125686645507812, 18.054641723632812, 18.063562393188477, 17.73372459411621, 18.211517333984375, 18.00058364868164, 18.03189468383789, 17.97370147705078, 17.91980743408203, 17.980976104736328, 17.75222396850586, 17.84686279296875, 17.948572158813477, 17.942825317382812, 18.02301597595215, 17.83054542541504, 17.548023223876953, 18.018665313720703, 17.925270080566406, 18.039960861206055, 17.707042694091797, 17.93879508972168, 17.865257263183594, 17.855690002441406, 17.851099014282227, 17.776538848876953, 17.666362762451172, 17.603322982788086, 17.365337371826172, 17.36648941040039, 17.559980392456055, 17.628498077392578]",18.101024627685547,15.96535587310791
6,"[-94.05827331542969, -85.46640014648438, -82.75955963134766, -87.06904602050781, -101.23092651367188, -93.69796752929688, -91.96253967285156, -89.69500732421875, -93.73391723632812, -89.88999938964844, -92.63465881347656, -87.858154296875, -95.3538818359375, -81.38931274414062, -83.93636322021484, -90.27046966552734, -82.98735046386719, -87.50445556640625, -94.42369079589844, -77.55352020263672, -83.89773559570312, -87.30366516113281, -76.78327941894531, -101.82530212402344, -70.60025024414062, -84.64527893066406, -83.5272445678711, -83.90840911865234, -71.78411102294922, -75.50273132324219, -68.0503158569336, -85.07235717773438, -65.00070190429688, -71.67374420166016, -84.06822204589844, -73.46232604980469, -76.81877136230469, -80.79131317138672, -80.90968322753906, -72.73639678955078, -78.82511138916016, -92.19638061523438, -81.47384643554688, -72.87380981445312, -79.93147277832031, -65.80461120605469, -64.7801513671875, -61.58538055419922, -70.81783294677734, -61.798423767089844, -72.46266174316406, -61.367523193359375, -55.87782669067383, -56.59197998046875, -62.05781936645508, -49.71230697631836, -54.12588882446289, -55.33132553100586, -60.65827941894531, -59.06421661376953, -49.560462951660156, -54.61020278930664, -51.48495101928711]","[17.457836151123047, 17.56568145751953, 17.726245880126953, 17.665969848632812, 17.768857955932617, 17.55927085876465, 17.53752899169922, 17.663375854492188, 17.595027923583984, 17.729267120361328, 17.50796890258789, 17.3552188873291, 17.53468894958496, 17.42841339111328, 17.586782455444336, 17.428096771240234, 17.527196884155273, 17.736873626708984, 17.362272262573242, 17.447311401367188, 17.410579681396484, 17.5862979888916, 17.477283477783203, 17.68096351623535, 17.368881225585938, 17.408193588256836, 17.27923011779785, 17.406448364257812, 17.182567596435547, 17.024778366088867, 17.109981536865234, 17.447689056396484, 17.186634063720703, 17.19638442993164, 17.244680404663086, 17.400711059570312, 17.206466674804688, 17.074352264404297, 17.290233612060547, 17.428068161010742, 17.39684295654297, 17.370037078857422, 17.27410125732422, 17.404743194580078, 17.41844367980957, 17.24085807800293, 17.271080017089844, 17.35877227783203, 16.94603157043457, 17.006534576416016, 17.255369186401367, 16.953187942504883, 16.752994537353516, 16.999414443969727, 16.88685417175293, 17.01144790649414, 16.772239685058594, 17.032489776611328, 17.226858139038086, 16.8797607421875, 16.897701263427734, 16.855308532714844, 16.542945861816406]",17.313230514526367,15.103140830993652
7,"[-102.79566192626953, -101.46942138671875, -95.55195617675781, -107.78561401367188, -110.80238342285156, -96.34059143066406, -110.113037109375, -99.02489471435547, -105.50384521484375, -126.76819610595703, -101.22461700439453, -106.33282470703125, -106.83154296875, -108.3600845336914, -114.12091827392578, -118.45394134521484, -111.82030487060547, -111.56558990478516, -118.23208618164062, -118.56192016601562, -109.80284118652344, -117.17433166503906, -110.01525115966797, -105.00578308105469, -105.54838562011719, -93.41856384277344, -99.36029052734375, -100.28840637207031, -103.26763916015625, -97.57554626464844, -92.48247528076172, -92.18568420410156, -84.69425964355469, -91.22003173828125, -84.92930603027344, -89.63648986816406, -86.14772033691406, -82.83395385742188, -85.23917388916016, -73.01995849609375, -79.58414459228516, -77.66421508789062, -76.42017364501953, -77.85047912597656, -79.1905517578125, -72.33865356445312, -68.4244155883789, -68.40023803710938, -73.72252655029297, -68.08009338378906, -62.73188018798828, -68.97689056396484, -64.66670227050781, -61.34547424316406, -76.47090148925781, -61.61552047729492, -67.64627075195312, -60.348506927490234, -57.587982177734375, -62.965023040771484, -67.40771484375, -62.395477294921875, -63.44305419921875]","[16.78411865234375, 16.907304763793945, 16.870838165283203, 16.788225173950195, 16.764677047729492, 17.038236618041992, 17.120262145996094, 17.01697540283203, 16.90418243408203, 16.98180389404297, 16.967578887939453, 17.078144073486328, 16.945457458496094, 17.044570922851562, 16.99203109741211, 17.052501678466797, 16.97490692138672, 16.764787673950195, 17.34912872314453, 16.93440818786621, 17.054912567138672, 16.872509002685547, 16.994770050048828, 17.053367614746094, 16.970775604248047, 16.887365341186523, 16.960651397705078, 16.89284896850586, 16.830463409423828, 16.94369125366211, 16.80682373046875, 16.803926467895508, 16.478452682495117, 16.707826614379883, 16.47713279724121, 16.671043395996094, 16.698238372802734, 16.702281951904297, 16.607763290405273, 16.590248107910156, 16.548513412475586, 16.609806060791016, 16.47635269165039, 16.574060440063477, 16.574268341064453, 16.514461517333984, 16.565032958984375, 16.474803924560547, 16.358354568481445, 16.299297332763672, 16.423439025878906, 16.439842224121094, 16.28217315673828, 16.274559020996094, 16.350074768066406, 16.154577255249023, 16.219093322753906, 16.24451446533203, 16.302215576171875, 15.958024024963379, 16.37540054321289, 16.321170806884766, 16.51842498779297]",16.702152252197266,14.52529239654541
8,"[-91.47197723388672, -94.90090942382812, -91.47869110107422, -91.27835083007812, -87.93826293945312, -96.47029876708984, -88.92135620117188, -86.15191650390625, -87.66816711425781, -95.89033508300781, -89.33486938476562, -95.19945526123047, -91.15797424316406, -89.72598266601562, -82.72929382324219, -92.68527221679688, -88.31224060058594, -84.35751342773438, -90.8525390625, -88.48782348632812, -92.18670654296875, -86.73181915283203, -81.27220916748047, -83.6440200805664, -83.62193298339844, -78.6048355102539, -80.07865905761719, -78.2601318359375, -73.87495422363281, -81.70171356201172, -78.04844665527344, -82.85223388671875, -76.19804382324219, -83.69253540039062, -83.57168579101562, -80.32308197021484, -81.47541809082031, -80.54588317871094, -83.83203125, -83.3219223022461, -80.62733459472656, -74.65670776367188, -85.4518814086914, -75.42190551757812, -80.75527954101562, -74.67684173583984, -72.66252136230469, -72.93452453613281, -69.24879455566406, -79.34288024902344, -67.56259155273438, -68.7602310180664, -66.41803741455078, -72.46481323242188, -67.22589111328125, -69.8260269165039, -74.88726806640625, -64.43408966064453, -71.16648864746094, -70.99827575683594, -62.788490295410156, -70.68339538574219, -68.4526138305664]","[16.030961990356445, 16.176368713378906, 16.369731903076172, 16.043720245361328, 16.25490951538086, 16.27614974975586, 16.10811996459961, 16.178043365478516, 16.24811553955078, 16.131423950195312, 16.312355041503906, 16.309621810913086, 16.220165252685547, 16.175567626953125, 16.331890106201172, 16.250682830810547, 16.103458404541016, 16.14706802368164, 16.212806701660156, 16.132343292236328, 16.093339920043945, 16.146717071533203, 16.05206298828125, 16.200963973999023, 16.02492904663086, 16.17957305908203, 15.995543479919434, 16.036256790161133, 16.052005767822266, 16.10433006286621, 16.005756378173828, 16.054088592529297, 16.116626739501953, 16.04146957397461, 16.146821975708008, 16.129413604736328, 16.11640167236328, 16.139896392822266, 15.997441291809082, 15.911808967590332, 16.043371200561523, 16.072345733642578, 16.06330108642578, 15.946968078613281, 15.956182479858398, 16.04299545288086, 15.91047191619873, 16.024311065673828, 15.902398109436035, 15.879959106445312, 15.891096115112305, 15.900520324707031, 15.929378509521484, 16.054832458496094, 15.856634140014648, 15.793766021728516, 15.892805099487305, 15.867132186889648, 15.885749816894531, 15.808683395385742, 15.736515998840332, 16.12588882446289, 15.833389282226562]",16.06497573852539,14.425484657287598
9,"[-73.22433471679688, -71.12364959716797, -71.345947265625, -69.10433959960938, -76.53701782226562, -68.3505859375, -70.78164672851562, -66.92060089111328, -71.52301025390625, -72.00828552246094, -74.50657653808594, -73.07476806640625, -68.79869079589844, -72.83161163330078, -70.01493072509766, -73.82337188720703, -78.09440612792969, -71.0816650390625, -66.41751098632812, -62.168548583984375, -66.2967529296875, -64.79139709472656, -66.22505187988281, -64.4964828491211, -64.64263153076172, -66.98612213134766, -69.42214965820312, -66.87320709228516, -71.43561553955078, -66.41665649414062, -74.46480560302734, -70.1624984741211, -63.4991340637207, -60.957435607910156, -61.830055236816406, -61.831077575683594, -61.603797912597656, -59.57526397705078, -59.24749755859375, -66.31407928466797, -52.752872467041016, -58.32441711425781, -63.563987731933594, -58.10159683227539, -58.18071746826172, -60.52027130126953, -63.04853820800781, -59.988197326660156, -63.70893096923828, -59.642677307128906, -65.36776733398438, -57.84344482421875, -65.23497772216797, -65.92022705078125, -56.86250305175781, -58.05244445800781, -59.34587097167969, -58.96331787109375, -61.30711364746094, -62.80733871459961, -56.42534637451172, -55.29491424560547, -59.21675491333008]","[15.825663566589355, 15.908859252929688, 15.897751808166504, 15.854143142700195, 16.157421112060547, 15.850833892822266, 16.082157135009766, 15.85666275024414, 15.938674926757812, 15.942798614501953, 15.778335571289062, 15.876148223876953, 15.865612030029297, 15.83886432647705, 15.729202270507812, 15.746345520019531, 16.049823760986328, 15.87148666381836, 15.915421485900879, 15.877054214477539, 15.838861465454102, 15.885099411010742, 15.921775817871094, 15.889892578125, 15.678548812866211, 15.666693687438965, 15.87406063079834, 15.79677963256836, 15.82933521270752, 15.806979179382324, 15.768524169921875, 15.789132118225098, 15.62802505493164, 15.733177185058594, 15.683024406433105, 15.724632263183594, 15.639153480529785, 15.758718490600586, 15.642311096191406, 15.581975936889648, 15.477226257324219, 15.679229736328125, 15.688563346862793, 15.613534927368164, 15.722929000854492, 15.76291275024414, 15.709386825561523, 15.616997718811035, 15.807674407958984, 15.499322891235352, 15.59658432006836, 15.63705825805664, 15.729289054870605, 15.687466621398926, 15.55659294128418, 15.60342788696289, 15.703099250793457, 15.625728607177734, 15.647686004638672, 15.689176559448242, 15.511062622070312, 15.481732368469238, 15.567289352416992]",15.757286071777344,14.178851127624512
